concept_id,scheme_id,module,concept_type,notation,status,hierarchy_level,derived_path,source_row
AOM_000846,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000846,staging,1,Farming System,2
AOM_000847,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000847,staging,2,Farming System/livestock system,3
AOM_000864,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000864,staging,6,Farming System/livestock system/aquatic/production orientation/reproducers/wild caught reproducers,4
AOM_000849,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000849,staging,3,Farming System/livestock system/aquatic system,5
AOM_000885,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000885,staging,4,Farming System/livestock system/aquatic system/living environment,6
AOM_000886,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000886,staging,5,Farming System/livestock system/aquatic system/living environment/closed water,7
AOM_000888,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000888,staging,6,Farming System/livestock system/aquatic system/living environment/closed water/pond,8
AOM_000887,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000887,staging,6,Farming System/livestock system/aquatic system/living environment/closed water/tank,9
AOM_000889,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000889,staging,5,Farming System/livestock system/aquatic system/living environment/open water,10
AOM_000890,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000890,staging,6,Farming System/livestock system/aquatic system/living environment/open water/cage,11
AOM_000891,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000891,staging,7,Farming System/livestock system/aquatic system/living environment/open water/cage/floating cage,12
AOM_000892,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000892,staging,7,Farming System/livestock system/aquatic system/living environment/open water/cage/submerged cage,13
AOM_000855,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000855,staging,4,Farming System/livestock system/aquatic system/production orientation,14
AOM_000856,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000856,staging,5,Farming System/livestock system/aquatic system/production orientation/caviar,15
AOM_000857,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000857,staging,5,Farming System/livestock system/aquatic system/production orientation/eggs,16
AOM_000858,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000858,staging,5,Farming System/livestock system/aquatic system/production orientation/larvae,17
AOM_000859,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000859,staging,6,Farming System/livestock system/aquatic system/production orientation/larvae/domesticated larvae,18
AOM_000860,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000860,staging,6,Farming System/livestock system/aquatic system/production orientation/larvae/wild caught larvae,19
AOM_000861,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000861,staging,5,Farming System/livestock system/aquatic system/production orientation/meat,20
AOM_000862,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000862,staging,5,Farming System/livestock system/aquatic system/production orientation/reproducers,21
AOM_000863,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000863,staging,6,Farming System/livestock system/aquatic system/production orientation/reproducers/domesticated reproducers,22
AOM_000865,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000865,staging,4,Farming System/livestock system/aquatic system/rearing stage,23
AOM_000866,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000866,staging,5,Farming System/livestock system/aquatic system/rearing stage/broodstock,24
AOM_000867,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000867,staging,5,Farming System/livestock system/aquatic system/rearing stage/growing,25
AOM_000868,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000868,staging,6,Farming System/livestock system/aquatic system/rearing stage/growing/grower-finisher,26
AOM_000869,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000869,staging,5,Farming System/livestock system/aquatic system/rearing stage/juvenile,27
AOM_000870,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000870,staging,6,Farming System/livestock system/aquatic system/rearing stage/juvenile/domesticated juvenile,28
AOM_000871,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000871,staging,6,Farming System/livestock system/aquatic system/rearing stage/juvenile/wild caught juvenile,29
AOM_000872,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000872,staging,5,Farming System/livestock system/aquatic system/rearing stage/newborn,30
AOM_000873,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000873,staging,5,Farming System/livestock system/aquatic system/rearing stage/pre-growout,31
AOM_000893,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000893,staging,4,Farming System/livestock system/aquatic system/species associations,32
AOM_000894,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000894,staging,5,Farming System/livestock system/aquatic system/species associations/mono-species,33
AOM_000895,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000895,staging,6,Farming System/livestock system/aquatic system/species associations/mono-species/group-housing,34
AOM_000896,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000896,staging,6,Farming System/livestock system/aquatic system/species associations/mono-species/individual housing,35
AOM_000897,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000897,staging,5,Farming System/livestock system/aquatic system/species associations/multi-species,36
AOM_000898,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000898,staging,6,Farming System/livestock system/aquatic system/species associations/multi-species/integrated system,37
AOM_000899,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000899,staging,7,Farming System/livestock system/aquatic system/species associations/multi-species/integrated system/aquaponic system,38
AOM_003052,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_003052,staging,5,Farming System/livestock system/aquatic system/species associations/Unspecified,39
AOM_000928,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000928,staging,3,Farming System/livestock system/precision livestock farming,40
AOM_000929,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000929,staging,4,Farming System/livestock system/precision livestock farming/animal device,41
AOM_000930,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000930,staging,5,Farming System/livestock system/precision livestock farming/animal device/identification device,42
AOM_000931,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000931,staging,5,Farming System/livestock system/precision livestock farming/animal device/sensor,43
AOM_000848,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000848,staging,3,Farming System/livestock system/terrestrial system,44
AOM_000932,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000932,staging,4,Farming System/livestock system/terrestrial system/grazing,45
AOM_000933,aom-livestock-v2,aom-livestock,legacy_aom_concept,AOM_000933,staging,5,Farming System/livestock system/terrestrial system/grazing/paddocks,46
