concept_id,language,label_type,label,source_column
AOM_000846,en,pref,Farming System,L1
AOM_000847,en,pref,livestock system,L2
AOM_000864,en,pref,wild caught reproducers,L6
AOM_000849,en,pref,aquatic system,L3
AOM_000885,en,pref,living environment,approved_deprecation
AOM_000886,en,pref,closed water,L5
AOM_000888,en,pref,pond,L6
AOM_000888,en,alt,pond aquaculture,Synonym
AOM_000887,en,pref,tank,L6
AOM_000887,en,alt,mesocosm,Synonym
AOM_000889,en,pref,open water,L5
AOM_000890,en,pref,cage,L6
AOM_000890,en,alt,netcage aquaculture system,Synonym
AOM_000890,en,alt,pen aquaculture system,Synonym
AOM_000890,en,alt,cage aquaculture,Synonym
AOM_000891,en,pref,floating cage,L7
AOM_000892,en,pref,submerged cage,L7
AOM_000855,en,pref,production orientation,L4
AOM_000856,en,pref,caviar,L5
AOM_000857,en,pref,eggs,L5
AOM_000858,en,pref,larvae,L5
AOM_000859,en,pref,domesticated larvae,L6
AOM_000860,en,pref,wild caught larvae,L6
AOM_000861,en,pref,meat,L5
AOM_000862,en,pref,reproducers,L5
AOM_000863,en,pref,domesticated reproducers,L6
AOM_000865,en,pref,rearing stage,approved_deprecation
AOM_000866,en,pref,broodstock,L5
AOM_000866,en,alt,reproducer production unit,Synonym
AOM_000867,en,pref,growing,approved_deprecation
AOM_000867,en,alt,growing-out rearing unit,Synonym
AOM_000867,en,alt,animal grower production unit,Synonym
AOM_000867,en,alt,fattening rearing unit,Synonym
AOM_000867,en,alt,ongrowing rearing unit,Synonym
AOM_000867,en,alt,grower rearing unit,Synonym
AOM_000868,en,pref,grower-finisher,approved_deprecation
AOM_000868,en,alt,growing-finishing housing system,Synonym
AOM_000868,en,alt,fattening housing system,Synonym
AOM_000868,en,alt,broiler housing system,Synonym
AOM_000869,en,pref,juvenile,approved_deprecation
AOM_000869,en,alt,juvenile production unit,Synonym
AOM_000869,en,alt,weaned animal rearing unit,Synonym
AOM_000869,en,alt,fingerling production,Synonym
AOM_000869,en,alt,fry production,Synonym
AOM_000870,en,pref,domesticated juvenile,approved_deprecation
AOM_000870,en,alt,domesticated fingerling production,Synonym
AOM_000871,en,pref,wild caught juvenile,approved_deprecation
AOM_000871,en,alt,Wild caught fingerling production system,Synonym
AOM_000872,en,pref,newborn,approved_deprecation
AOM_000872,en,alt,fish fry production unit,Synonym
AOM_000873,en,pref,pre-growout,approved_deprecation
AOM_000873,en,alt,pre-fattening rearing unit,Synonym
AOM_000873,en,alt,pregrowing rearing unit,Synonym
AOM_000873,en,alt,on-growing rearing unit,Synonym
AOM_000893,en,pref,species associations,approved_deprecation
AOM_000894,en,pref,mono-species,approved_deprecation
AOM_000894,en,alt,mono-species breeding system,Synonym
AOM_000894,en,alt,monoculture rearing system,Synonym
AOM_000895,en,pref,group-housing,approved_deprecation
AOM_000896,en,pref,individual housing,approved_deprecation
AOM_000897,en,pref,multi-species,approved_deprecation
AOM_000897,en,alt,poly-species rearing system,Synonym
AOM_000897,en,alt,polyculture rearing system,Synonym
AOM_000898,en,pref,integrated system,approved_deprecation
AOM_000898,en,alt,IMTA,Synonym
AOM_000898,en,alt,Integrated multi-trophic aquaculture,Synonym
AOM_000899,en,pref,aquaponic system,L7
AOM_003052,en,pref,Unspecified,L5
AOM_000928,en,pref,precision livestock farming,L3
AOM_000929,en,pref,animal device,L4
AOM_000930,en,pref,identification device,L5
AOM_000931,en,pref,sensor,L5
AOM_000848,en,pref,terrestrial system,L3
AOM_000932,en,pref,grazing,L4
AOM_000932,en,alt,pasture system,Synonym
AOM_000933,en,pref,paddocks,L5
AOM_000933,en,alt,paddock grazing system,Synonym
AOM_000934,en,pref,set stocking,L5
AOM_000935,en,pref,Strip grazing,approved_deprecation
AOM_000935,en,alt,rationed grazing,Synonym
AOM_000900,en,pref,living environment,L4
AOM_003029,en,pref,barn,L8
AOM_000912,en,pref,cubicle house,L10
AOM_003028,en,pref,pen,L8
AOM_003200,en,pref,shed,L8
AOM_000905,en,pref,stall,L8
AOM_000905,en,alt,crate,Synonym
AOM_000908,en,pref,digestibility stall,L9
AOM_000908,en,alt,digestibility crate,Synonym
AOM_000906,en,pref,semi-tied stall,L9
AOM_000907,en,pref,tied stall,L9
