subject_id,mapping_relation,target_scheme,target_id,target_uri,original_value,normalization_applied,evidence,status,source_release,reviewer
AOM_000864,relatedMatch,ontology,EOL_0001581,http://opendata.inra.fr/EOL/EOL_0001581,http://opendata.inra.fr/EOL/EOL_0001581,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000886,relatedMatch,ontology,EOL_0001570,http://opendata.inra.fr/EOL/EOL_0001570,http://opendata.inra.fr/EOL/EOL_0001570,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000888,relatedMatch,ontology,EOL_0001521,http://opendata.inra.fr/EOL/EOL_0001521,http://opendata.inra.fr/EOL/EOL_0001521,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000887,relatedMatch,ontology,EOL_0001528,http://opendata.inra.fr/EOL/EOL_0001528,http://opendata.inra.fr/EOL/EOL_0001528,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000889,relatedMatch,ontology,EOL_0001500,http://opendata.inra.fr/EOL/EOL_0001500,http://opendata.inra.fr/EOL/EOL_0001500,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000890,relatedMatch,ontology,EOL_0001509,http://opendata.inra.fr/EOL/EOL_0001509,http://opendata.inra.fr/EOL/EOL_0001509,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000891,relatedMatch,ontology,EOL_0001505,http://opendata.inra.fr/EOL/EOL_0001505,http://opendata.inra.fr/EOL/EOL_0001505,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000892,relatedMatch,ontology,EOL_0001518,http://opendata.inra.fr/EOL/EOL_0001518,http://opendata.inra.fr/EOL/EOL_0001518,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000856,relatedMatch,ontology,EOL_0001718,http://opendata.inra.fr/EOL/EOL_0001718,http://opendata.inra.fr/EOL/EOL_0001718,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000857,relatedMatch,ontology,EOL_0001711,http://opendata.inra.fr/EOL/EOL_0001711,http://opendata.inra.fr/EOL/EOL_0001711,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000858,relatedMatch,ontology,EOL_0001573,http://opendata.inra.fr/EOL/EOL_0001573,http://opendata.inra.fr/EOL/EOL_0001573,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000859,relatedMatch,ontology,EOL_0001583,http://opendata.inra.fr/EOL/EOL_0001583,http://opendata.inra.fr/EOL/EOL_0001583,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000860,relatedMatch,ontology,EOL_0001580,http://opendata.inra.fr/EOL/EOL_0001580,http://opendata.inra.fr/EOL/EOL_0001580,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000861,relatedMatch,ontology,EOL_0001575,http://opendata.inra.fr/EOL/EOL_0001575,http://opendata.inra.fr/EOL/EOL_0001575,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000862,relatedMatch,ontology,EOL_0001576,http://opendata.inra.fr/EOL/EOL_0001576,http://opendata.inra.fr/EOL/EOL_0001576,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000863,relatedMatch,ontology,EOL_0001585,http://opendata.inra.fr/EOL/EOL_0001585,http://opendata.inra.fr/EOL/EOL_0001585,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000865,relatedMatch,ontology,EOL_0001709,http://opendata.inra.fr/EOL/EOL_0001709,http://opendata.inra.fr/EOL/EOL_0001709,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000866,relatedMatch,ontology,EOL_0001717,http://opendata.inra.fr/EOL/EOL_0001717,http://opendata.inra.fr/EOL/EOL_0001717,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000867,relatedMatch,ontology,EOL_0001710,http://opendata.inra.fr/EOL/EOL_0001710,http://opendata.inra.fr/EOL/EOL_0001710,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000868,relatedMatch,ontology,EOL_0001632,http://opendata.inra.fr/EOL/EOL_0001632,http://opendata.inra.fr/EOL/EOL_0001632,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000869,relatedMatch,ontology,EOL_0001574,http://opendata.inra.fr/EOL/EOL_0001574,http://opendata.inra.fr/EOL/EOL_0001574,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000870,relatedMatch,ontology,EOL_0001584,http://opendata.inra.fr/EOL/EOL_0001584,http://opendata.inra.fr/EOL/EOL_0001584,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000871,relatedMatch,ontology,EOL_0001582,http://opendata.inra.fr/EOL/EOL_0001582,http://opendata.inra.fr/EOL/EOL_0001582,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000872,relatedMatch,ontology,EOL_0001716,http://opendata.inra.fr/EOL/EOL_0001716,http://opendata.inra.fr/EOL/EOL_0001716,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000873,relatedMatch,ontology,EOL_0001725,http://opendata.inra.fr/EOL/EOL_0001725,http://opendata.inra.fr/EOL/EOL_0001725,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000894,relatedMatch,ontology,EOL_0001507,http://opendata.inra.fr/EOL/EOL_0001507,http://opendata.inra.fr/EOL/EOL_0001507,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000895,relatedMatch,ontology,EOL_0001608,http://opendata.inra.fr/EOL/EOL_0001608,http://opendata.inra.fr/EOL/EOL_0001608,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000896,relatedMatch,ontology,EOL_0001634,http://opendata.inra.fr/EOL/EOL_0001634,http://opendata.inra.fr/EOL/EOL_0001634,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000897,relatedMatch,ontology,EOL_0001506,http://opendata.inra.fr/EOL/EOL_0001506,http://opendata.inra.fr/EOL/EOL_0001506,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000898,relatedMatch,ontology,EOL_0001516,http://opendata.inra.fr/EOL/EOL_0001516,http://opendata.inra.fr/EOL/EOL_0001516,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000899,relatedMatch,ontology,EOL_0001520,http://opendata.inra.fr/EOL/EOL_0001520,http://opendata.inra.fr/EOL/EOL_0001520,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000928,relatedMatch,ontology,EOL_0002013,http://opendata.inra.fr/EOL/EOL_0002013,http://opendata.inra.fr/EOL/EOL_0002013,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000929,relatedMatch,ontology,EOL_0001956,http://opendata.inra.fr/EOL/EOL_0001956,http://opendata.inra.fr/EOL/EOL_0001956,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000930,relatedMatch,ontology,EOL_0001958,http://opendata.inra.fr/EOL/EOL_0001958,http://opendata.inra.fr/EOL/EOL_0001958,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000931,relatedMatch,ontology,EOL_0001961,http://opendata.inra.fr/EOL/EOL_0001961,http://opendata.inra.fr/EOL/EOL_0001961,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000932,relatedMatch,ontology,EOL_0001706,http://opendata.inra.fr/EOL/EOL_0001706,http://opendata.inra.fr/EOL/EOL_0001706,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000933,relatedMatch,ontology,EOL_0001944,http://opendata.inra.fr/EOL/EOL_0001944,http://opendata.inra.fr/EOL/EOL_0001944,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000934,relatedMatch,ontology,EOL_0001943,http://opendata.inra.fr/EOL/EOL_0001943,http://opendata.inra.fr/EOL/EOL_0001943,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000935,relatedMatch,ontology,EOL_0001945,http://opendata.inra.fr/EOL/EOL_0001945,http://opendata.inra.fr/EOL/EOL_0001945,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_003029,relatedMatch,ontology,EOL_0001898,http://opendata.inra.fr/EOL/EOL_0001898,http://opendata.inra.fr/EOL/EOL_0001898,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000912,relatedMatch,ontology,EOL_0001907,http://opendata.inra.fr/EOL/EOL_0001907,http://opendata.inra.fr/EOL/EOL_0001907,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_003028,relatedMatch,ontology,EOL_0001902,http://opendata.inra.fr/EOL/EOL_0001902,http://opendata.inra.fr/EOL/EOL_0001902,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000905,relatedMatch,ontology,EOL_0001638,http://opendata.inra.fr/EOL/EOL_0001638,http://opendata.inra.fr/EOL/EOL_0001638,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000905,relatedMatch,ontology,EOL_0001906,http://opendata.inra.fr/EOL/EOL_0001906,http://opendata.inra.fr/EOL/EOL_0001906,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000908,relatedMatch,ontology,EOL_0001698,http://opendata.inra.fr/EOL/EOL_0001698,http://opendata.inra.fr/EOL/EOL_0001698,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000906,relatedMatch,ontology,EOL_0001906,http://opendata.inra.fr/EOL/EOL_0001906,http://opendata.inra.fr/EOL/EOL_0001906,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000907,relatedMatch,ontology,EOL_0001905,http://opendata.inra.fr/EOL/EOL_0001905,http://opendata.inra.fr/EOL/EOL_0001905,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_003027,relatedMatch,ontology,EOL_0001600,http://opendata.inra.fr/EOL/EOL_0001600,http://opendata.inra.fr/EOL/EOL_0001600,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_003030,relatedMatch,ontology,EOL_0001972,http://opendata.inra.fr/EOL/EOL_0001972,http://opendata.inra.fr/EOL/EOL_0001972,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
AOM_000914,relatedMatch,ontology,EOL_0001648,http://opendata.inra.fr/EOL/EOL_0001648,http://opendata.inra.fr/EOL/EOL_0001648,,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed,AOM Livestock v2.0,
