concept_id,property,value,source_column,status
AOM_000846,Edge_Value,Farming System,Edge_Value,legacy-unreviewed
AOM_000846,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000847,Edge_Value,livestock system,Edge_Value,legacy-unreviewed
AOM_000847,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000864,Edge_Value,wild caught reproducers,Edge_Value,legacy-unreviewed
AOM_000864,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000849,Edge_Value,aquatic system,Edge_Value,legacy-unreviewed
AOM_000849,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000885,Edge_Value,living environment,Edge_Value,legacy-unreviewed
AOM_000885,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000886,Edge_Value,closed water,Edge_Value,legacy-unreviewed
AOM_000886,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000888,Edge_Value,pond,Edge_Value,legacy-unreviewed
AOM_000888,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000887,Edge_Value,tank,Edge_Value,legacy-unreviewed
AOM_000887,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000889,Edge_Value,open water,Edge_Value,legacy-unreviewed
AOM_000889,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000890,Edge_Value,cage,Edge_Value,legacy-unreviewed
AOM_000890,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000891,Edge_Value,floating cage,Edge_Value,legacy-unreviewed
AOM_000891,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000892,Edge_Value,submerged cage,Edge_Value,legacy-unreviewed
AOM_000892,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000855,Edge_Value,production orientation,Edge_Value,legacy-unreviewed
AOM_000855,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000856,Edge_Value,caviar,Edge_Value,legacy-unreviewed
AOM_000856,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000857,Edge_Value,eggs,Edge_Value,legacy-unreviewed
AOM_000857,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000858,Edge_Value,larvae,Edge_Value,legacy-unreviewed
AOM_000858,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000859,Edge_Value,domesticated larvae,Edge_Value,legacy-unreviewed
AOM_000859,Is_Ani_Diet_Ingredient,FALSE,Is_Ani_Diet_Ingredient,legacy-unreviewed
AOM_000860,Edge_Value,wild caught larvae,Edge_Value,legacy-unreviewed
