subject_id,relation_type,object_id,status
AOM_000847,broader,AOM_000846,derived-from-levels
AOM_000849,broader,AOM_000847,derived-from-levels
AOM_000885,broader,AOM_000849,derived-from-levels
AOM_000886,broader,AOM_000885,derived-from-levels
AOM_000888,broader,AOM_000886,derived-from-levels
AOM_000887,broader,AOM_000886,derived-from-levels
AOM_000889,broader,AOM_000885,derived-from-levels
AOM_000890,broader,AOM_000889,derived-from-levels
AOM_000891,broader,AOM_000890,derived-from-levels
AOM_000892,broader,AOM_000890,derived-from-levels
AOM_000855,broader,AOM_000849,derived-from-levels
AOM_000856,broader,AOM_000855,derived-from-levels
AOM_000857,broader,AOM_000855,derived-from-levels
AOM_000858,broader,AOM_000855,derived-from-levels
AOM_000859,broader,AOM_000858,derived-from-levels
AOM_000860,broader,AOM_000858,derived-from-levels
AOM_000861,broader,AOM_000855,derived-from-levels
AOM_000862,broader,AOM_000855,derived-from-levels
AOM_000863,broader,AOM_000862,derived-from-levels
AOM_000865,broader,AOM_000849,derived-from-levels
AOM_000866,broader,AOM_000865,derived-from-levels
AOM_000867,broader,AOM_000865,derived-from-levels
AOM_000868,broader,AOM_000867,derived-from-levels
AOM_000869,broader,AOM_000865,derived-from-levels
AOM_000870,broader,AOM_000869,derived-from-levels
AOM_000871,broader,AOM_000869,derived-from-levels
AOM_000872,broader,AOM_000865,derived-from-levels
AOM_000873,broader,AOM_000865,derived-from-levels
AOM_000893,broader,AOM_000849,derived-from-levels
AOM_000894,broader,AOM_000893,derived-from-levels
AOM_000895,broader,AOM_000894,derived-from-levels
AOM_000896,broader,AOM_000894,derived-from-levels
AOM_000897,broader,AOM_000893,derived-from-levels
AOM_000898,broader,AOM_000897,derived-from-levels
AOM_000899,broader,AOM_000898,derived-from-levels
AOM_003052,broader,AOM_000893,derived-from-levels
AOM_000928,broader,AOM_000847,derived-from-levels
AOM_000929,broader,AOM_000928,derived-from-levels
AOM_000930,broader,AOM_000929,derived-from-levels
AOM_000931,broader,AOM_000929,derived-from-levels
AOM_000848,broader,AOM_000847,derived-from-levels
AOM_000932,broader,AOM_000848,derived-from-levels
AOM_000933,broader,AOM_000932,derived-from-levels
AOM_000934,broader,AOM_000932,derived-from-levels
AOM_000935,broader,AOM_000932,derived-from-levels
AOM_000900,broader,AOM_000848,derived-from-levels
AOM_003029,broader,AOM_003027,derived-from-levels
AOM_003028,broader,AOM_003027,derived-from-levels
AOM_003200,broader,AOM_003027,derived-from-levels
AOM_000905,broader,AOM_003027,derived-from-levels
AOM_000908,broader,AOM_000905,derived-from-levels
AOM_000906,broader,AOM_000905,derived-from-levels
AOM_000907,broader,AOM_000905,derived-from-levels
AOM_003027,broader,AOM_003026,derived-from-levels
AOM_003030,broader,AOM_003026,derived-from-levels
AOM_000914,broader,AOM_003026,derived-from-levels
AOM_003031,broader,AOM_003026,derived-from-levels
AOM_003032,broader,AOM_003026,derived-from-levels
AOM_003051,broader,AOM_003026,derived-from-levels
AOM_000901,broader,AOM_003022,derived-from-levels
AOM_000902,broader,AOM_003022,derived-from-levels
AOM_000903,broader,AOM_000902,derived-from-levels
AOM_000904,broader,AOM_000903,derived-from-levels
AOM_003024,broader,AOM_003023,derived-from-levels
AOM_003023,broader,AOM_000902,derived-from-levels
AOM_000909,broader,AOM_000902,derived-from-levels
AOM_000910,broader,AOM_000909,derived-from-levels
AOM_000911,broader,AOM_000909,derived-from-levels
AOM_000913,broader,AOM_000909,derived-from-levels
AOM_003025,broader,AOM_000902,derived-from-levels
AOM_000915,broader,AOM_003022,derived-from-levels
AOM_000917,broader,AOM_000915,derived-from-levels
AOM_000916,broader,AOM_000915,derived-from-levels
AOM_000918,broader,AOM_003022,derived-from-levels
AOM_003085,broader,AOM_000918,derived-from-levels
AOM_000919,broader,AOM_003022,derived-from-levels
AOM_000920,broader,AOM_003022,derived-from-levels
