concept_id,source_release,source_row,source_doi
AOM_000846,AOM Livestock v2.0,2,https://doi.org/10.7910/DVN/75E7HV
AOM_000847,AOM Livestock v2.0,3,https://doi.org/10.7910/DVN/75E7HV
AOM_000864,AOM Livestock v2.0,4,https://doi.org/10.7910/DVN/75E7HV
AOM_000849,AOM Livestock v2.0,5,https://doi.org/10.7910/DVN/75E7HV
AOM_000885,AOM Livestock v2.0,6,https://doi.org/10.7910/DVN/75E7HV
AOM_000886,AOM Livestock v2.0,7,https://doi.org/10.7910/DVN/75E7HV
AOM_000888,AOM Livestock v2.0,8,https://doi.org/10.7910/DVN/75E7HV
AOM_000887,AOM Livestock v2.0,9,https://doi.org/10.7910/DVN/75E7HV
AOM_000889,AOM Livestock v2.0,10,https://doi.org/10.7910/DVN/75E7HV
AOM_000890,AOM Livestock v2.0,11,https://doi.org/10.7910/DVN/75E7HV
AOM_000891,AOM Livestock v2.0,12,https://doi.org/10.7910/DVN/75E7HV
AOM_000892,AOM Livestock v2.0,13,https://doi.org/10.7910/DVN/75E7HV
AOM_000855,AOM Livestock v2.0,14,https://doi.org/10.7910/DVN/75E7HV
AOM_000856,AOM Livestock v2.0,15,https://doi.org/10.7910/DVN/75E7HV
AOM_000857,AOM Livestock v2.0,16,https://doi.org/10.7910/DVN/75E7HV
AOM_000858,AOM Livestock v2.0,17,https://doi.org/10.7910/DVN/75E7HV
AOM_000859,AOM Livestock v2.0,18,https://doi.org/10.7910/DVN/75E7HV
AOM_000860,AOM Livestock v2.0,19,https://doi.org/10.7910/DVN/75E7HV
AOM_000861,AOM Livestock v2.0,20,https://doi.org/10.7910/DVN/75E7HV
AOM_000862,AOM Livestock v2.0,21,https://doi.org/10.7910/DVN/75E7HV
AOM_000863,AOM Livestock v2.0,22,https://doi.org/10.7910/DVN/75E7HV
AOM_000865,AOM Livestock v2.0,23,https://doi.org/10.7910/DVN/75E7HV
AOM_000866,AOM Livestock v2.0,24,https://doi.org/10.7910/DVN/75E7HV
AOM_000867,AOM Livestock v2.0,25,https://doi.org/10.7910/DVN/75E7HV
AOM_000868,AOM Livestock v2.0,26,https://doi.org/10.7910/DVN/75E7HV
AOM_000869,AOM Livestock v2.0,27,https://doi.org/10.7910/DVN/75E7HV
AOM_000870,AOM Livestock v2.0,28,https://doi.org/10.7910/DVN/75E7HV
AOM_000871,AOM Livestock v2.0,29,https://doi.org/10.7910/DVN/75E7HV
AOM_000872,AOM Livestock v2.0,30,https://doi.org/10.7910/DVN/75E7HV
AOM_000873,AOM Livestock v2.0,31,https://doi.org/10.7910/DVN/75E7HV
AOM_000893,AOM Livestock v2.0,32,https://doi.org/10.7910/DVN/75E7HV
AOM_000894,AOM Livestock v2.0,33,https://doi.org/10.7910/DVN/75E7HV
AOM_000895,AOM Livestock v2.0,34,https://doi.org/10.7910/DVN/75E7HV
AOM_000896,AOM Livestock v2.0,35,https://doi.org/10.7910/DVN/75E7HV
AOM_000897,AOM Livestock v2.0,36,https://doi.org/10.7910/DVN/75E7HV
AOM_000898,AOM Livestock v2.0,37,https://doi.org/10.7910/DVN/75E7HV
AOM_000899,AOM Livestock v2.0,38,https://doi.org/10.7910/DVN/75E7HV
AOM_003052,AOM Livestock v2.0,39,https://doi.org/10.7910/DVN/75E7HV
AOM_000928,AOM Livestock v2.0,40,https://doi.org/10.7910/DVN/75E7HV
AOM_000929,AOM Livestock v2.0,41,https://doi.org/10.7910/DVN/75E7HV
AOM_000930,AOM Livestock v2.0,42,https://doi.org/10.7910/DVN/75E7HV
AOM_000931,AOM Livestock v2.0,43,https://doi.org/10.7910/DVN/75E7HV
AOM_000848,AOM Livestock v2.0,44,https://doi.org/10.7910/DVN/75E7HV
AOM_000932,AOM Livestock v2.0,45,https://doi.org/10.7910/DVN/75E7HV
AOM_000933,AOM Livestock v2.0,46,https://doi.org/10.7910/DVN/75E7HV
AOM_000934,AOM Livestock v2.0,47,https://doi.org/10.7910/DVN/75E7HV
AOM_000935,AOM Livestock v2.0,48,https://doi.org/10.7910/DVN/75E7HV
AOM_000900,AOM Livestock v2.0,49,https://doi.org/10.7910/DVN/75E7HV
AOM_003029,AOM Livestock v2.0,50,https://doi.org/10.7910/DVN/75E7HV
AOM_000912,AOM Livestock v2.0,51,https://doi.org/10.7910/DVN/75E7HV
AOM_003028,AOM Livestock v2.0,52,https://doi.org/10.7910/DVN/75E7HV
AOM_003200,AOM Livestock v2.0,53,https://doi.org/10.7910/DVN/75E7HV
AOM_000905,AOM Livestock v2.0,54,https://doi.org/10.7910/DVN/75E7HV
AOM_000908,AOM Livestock v2.0,55,https://doi.org/10.7910/DVN/75E7HV
AOM_000906,AOM Livestock v2.0,56,https://doi.org/10.7910/DVN/75E7HV
AOM_000907,AOM Livestock v2.0,57,https://doi.org/10.7910/DVN/75E7HV
AOM_003027,AOM Livestock v2.0,58,https://doi.org/10.7910/DVN/75E7HV
AOM_003030,AOM Livestock v2.0,59,https://doi.org/10.7910/DVN/75E7HV
AOM_000914,AOM Livestock v2.0,60,https://doi.org/10.7910/DVN/75E7HV
AOM_003031,AOM Livestock v2.0,61,https://doi.org/10.7910/DVN/75E7HV
AOM_003032,AOM Livestock v2.0,62,https://doi.org/10.7910/DVN/75E7HV
AOM_003051,AOM Livestock v2.0,63,https://doi.org/10.7910/DVN/75E7HV
AOM_003026,AOM Livestock v2.0,64,https://doi.org/10.7910/DVN/75E7HV
AOM_000901,AOM Livestock v2.0,65,https://doi.org/10.7910/DVN/75E7HV
AOM_000902,AOM Livestock v2.0,66,https://doi.org/10.7910/DVN/75E7HV
AOM_000903,AOM Livestock v2.0,67,https://doi.org/10.7910/DVN/75E7HV
AOM_000904,AOM Livestock v2.0,68,https://doi.org/10.7910/DVN/75E7HV
AOM_003024,AOM Livestock v2.0,69,https://doi.org/10.7910/DVN/75E7HV
AOM_003023,AOM Livestock v2.0,70,https://doi.org/10.7910/DVN/75E7HV
AOM_000909,AOM Livestock v2.0,71,https://doi.org/10.7910/DVN/75E7HV
AOM_000910,AOM Livestock v2.0,72,https://doi.org/10.7910/DVN/75E7HV
AOM_000911,AOM Livestock v2.0,73,https://doi.org/10.7910/DVN/75E7HV
AOM_000913,AOM Livestock v2.0,74,https://doi.org/10.7910/DVN/75E7HV
AOM_003025,AOM Livestock v2.0,75,https://doi.org/10.7910/DVN/75E7HV
AOM_000915,AOM Livestock v2.0,76,https://doi.org/10.7910/DVN/75E7HV
AOM_000917,AOM Livestock v2.0,77,https://doi.org/10.7910/DVN/75E7HV
AOM_000916,AOM Livestock v2.0,78,https://doi.org/10.7910/DVN/75E7HV
AOM_000918,AOM Livestock v2.0,79,https://doi.org/10.7910/DVN/75E7HV
AOM_003085,AOM Livestock v2.0,80,https://doi.org/10.7910/DVN/75E7HV
AOM_000919,AOM Livestock v2.0,81,https://doi.org/10.7910/DVN/75E7HV
AOM_000920,AOM Livestock v2.0,82,https://doi.org/10.7910/DVN/75E7HV
AOM_000921,AOM Livestock v2.0,83,https://doi.org/10.7910/DVN/75E7HV
AOM_003050,AOM Livestock v2.0,84,https://doi.org/10.7910/DVN/75E7HV
AOM_003022,AOM Livestock v2.0,85,https://doi.org/10.7910/DVN/75E7HV
AOM_000850,AOM Livestock v2.0,86,https://doi.org/10.7910/DVN/75E7HV
AOM_000851,AOM Livestock v2.0,87,https://doi.org/10.7910/DVN/75E7HV
AOM_000852,AOM Livestock v2.0,88,https://doi.org/10.7910/DVN/75E7HV
AOM_000853,AOM Livestock v2.0,89,https://doi.org/10.7910/DVN/75E7HV
AOM_000854,AOM Livestock v2.0,90,https://doi.org/10.7910/DVN/75E7HV
AOM_000874,AOM Livestock v2.0,91,https://doi.org/10.7910/DVN/75E7HV
AOM_000875,AOM Livestock v2.0,92,https://doi.org/10.7910/DVN/75E7HV
AOM_000876,AOM Livestock v2.0,93,https://doi.org/10.7910/DVN/75E7HV
AOM_000877,AOM Livestock v2.0,94,https://doi.org/10.7910/DVN/75E7HV
AOM_000878,AOM Livestock v2.0,95,https://doi.org/10.7910/DVN/75E7HV
AOM_000879,AOM Livestock v2.0,96,https://doi.org/10.7910/DVN/75E7HV
AOM_000880,AOM Livestock v2.0,97,https://doi.org/10.7910/DVN/75E7HV
AOM_000881,AOM Livestock v2.0,98,https://doi.org/10.7910/DVN/75E7HV
AOM_000882,AOM Livestock v2.0,99,https://doi.org/10.7910/DVN/75E7HV
AOM_000883,AOM Livestock v2.0,100,https://doi.org/10.7910/DVN/75E7HV
AOM_000884,AOM Livestock v2.0,101,https://doi.org/10.7910/DVN/75E7HV
AOM_000922,AOM Livestock v2.0,102,https://doi.org/10.7910/DVN/75E7HV
AOM_000923,AOM Livestock v2.0,103,https://doi.org/10.7910/DVN/75E7HV
AOM_000924,AOM Livestock v2.0,104,https://doi.org/10.7910/DVN/75E7HV
AOM_000925,AOM Livestock v2.0,105,https://doi.org/10.7910/DVN/75E7HV
AOM_000926,AOM Livestock v2.0,106,https://doi.org/10.7910/DVN/75E7HV
AOM_000927,AOM Livestock v2.0,107,https://doi.org/10.7910/DVN/75E7HV
AOM_000106,AOM Livestock v2.0,108,https://doi.org/10.7910/DVN/75E7HV
AOM_000107,AOM Livestock v2.0,109,https://doi.org/10.7910/DVN/75E7HV
AOM_000356,AOM Livestock v2.0,110,https://doi.org/10.7910/DVN/75E7HV
AOM_000170,AOM Livestock v2.0,111,https://doi.org/10.7910/DVN/75E7HV
AOM_000328,AOM Livestock v2.0,112,https://doi.org/10.7910/DVN/75E7HV
AOM_000196,AOM Livestock v2.0,113,https://doi.org/10.7910/DVN/75E7HV
AOM_000197,AOM Livestock v2.0,114,https://doi.org/10.7910/DVN/75E7HV
AOM_000198,AOM Livestock v2.0,115,https://doi.org/10.7910/DVN/75E7HV
AOM_000199,AOM Livestock v2.0,116,https://doi.org/10.7910/DVN/75E7HV
AOM_000200,AOM Livestock v2.0,117,https://doi.org/10.7910/DVN/75E7HV
AOM_000201,AOM Livestock v2.0,118,https://doi.org/10.7910/DVN/75E7HV
AOM_000202,AOM Livestock v2.0,119,https://doi.org/10.7910/DVN/75E7HV
AOM_000203,AOM Livestock v2.0,120,https://doi.org/10.7910/DVN/75E7HV
AOM_000204,AOM Livestock v2.0,121,https://doi.org/10.7910/DVN/75E7HV
AOM_000205,AOM Livestock v2.0,122,https://doi.org/10.7910/DVN/75E7HV
AOM_000206,AOM Livestock v2.0,123,https://doi.org/10.7910/DVN/75E7HV
AOM_000207,AOM Livestock v2.0,124,https://doi.org/10.7910/DVN/75E7HV
AOM_000208,AOM Livestock v2.0,125,https://doi.org/10.7910/DVN/75E7HV
AOM_000209,AOM Livestock v2.0,126,https://doi.org/10.7910/DVN/75E7HV
AOM_000210,AOM Livestock v2.0,127,https://doi.org/10.7910/DVN/75E7HV
AOM_000211,AOM Livestock v2.0,128,https://doi.org/10.7910/DVN/75E7HV
AOM_000212,AOM Livestock v2.0,129,https://doi.org/10.7910/DVN/75E7HV
AOM_000213,AOM Livestock v2.0,130,https://doi.org/10.7910/DVN/75E7HV
AOM_000214,AOM Livestock v2.0,131,https://doi.org/10.7910/DVN/75E7HV
AOM_000215,AOM Livestock v2.0,132,https://doi.org/10.7910/DVN/75E7HV
AOM_000216,AOM Livestock v2.0,133,https://doi.org/10.7910/DVN/75E7HV
AOM_000217,AOM Livestock v2.0,134,https://doi.org/10.7910/DVN/75E7HV
AOM_000218,AOM Livestock v2.0,135,https://doi.org/10.7910/DVN/75E7HV
AOM_000219,AOM Livestock v2.0,136,https://doi.org/10.7910/DVN/75E7HV
AOM_000220,AOM Livestock v2.0,137,https://doi.org/10.7910/DVN/75E7HV
AOM_000221,AOM Livestock v2.0,138,https://doi.org/10.7910/DVN/75E7HV
AOM_000222,AOM Livestock v2.0,139,https://doi.org/10.7910/DVN/75E7HV
AOM_000223,AOM Livestock v2.0,140,https://doi.org/10.7910/DVN/75E7HV
AOM_000225,AOM Livestock v2.0,141,https://doi.org/10.7910/DVN/75E7HV
AOM_000226,AOM Livestock v2.0,142,https://doi.org/10.7910/DVN/75E7HV
AOM_000228,AOM Livestock v2.0,143,https://doi.org/10.7910/DVN/75E7HV
AOM_000229,AOM Livestock v2.0,144,https://doi.org/10.7910/DVN/75E7HV
AOM_000230,AOM Livestock v2.0,145,https://doi.org/10.7910/DVN/75E7HV
AOM_000231,AOM Livestock v2.0,146,https://doi.org/10.7910/DVN/75E7HV
AOM_000232,AOM Livestock v2.0,147,https://doi.org/10.7910/DVN/75E7HV
AOM_000233,AOM Livestock v2.0,148,https://doi.org/10.7910/DVN/75E7HV
AOM_000235,AOM Livestock v2.0,149,https://doi.org/10.7910/DVN/75E7HV
AOM_000237,AOM Livestock v2.0,150,https://doi.org/10.7910/DVN/75E7HV
AOM_000238,AOM Livestock v2.0,151,https://doi.org/10.7910/DVN/75E7HV
AOM_000239,AOM Livestock v2.0,152,https://doi.org/10.7910/DVN/75E7HV
AOM_000240,AOM Livestock v2.0,153,https://doi.org/10.7910/DVN/75E7HV
AOM_000244,AOM Livestock v2.0,154,https://doi.org/10.7910/DVN/75E7HV
AOM_000241,AOM Livestock v2.0,155,https://doi.org/10.7910/DVN/75E7HV
AOM_000242,AOM Livestock v2.0,156,https://doi.org/10.7910/DVN/75E7HV
