"concept_id","scheme_id","concept_type","notation","status","source_sheet","source_row"
"era:practice:theme:001","era:scheme:practice","theme","Agroforestry","active","prac",2
"era:practice:theme:002","era:scheme:practice","theme","Animals","active","prac",28
"era:practice:theme:003","era:scheme:practice","theme","Blue Water Management","active","prac",58
"era:practice:theme:004","era:scheme:practice","theme","Crop Management","active","prac",68
"era:practice:theme:005","era:scheme:practice","theme","Energy","active","prac",96
"era:practice:theme:006","era:scheme:practice","theme","Genetic improvement","active","prac",105
"era:practice:theme:007","era:scheme:practice","theme","Green Water Management","active","prac",110
"era:practice:theme:008","era:scheme:practice","theme","Non-CSA","active","prac",123
"era:practice:theme:009","era:scheme:practice","theme","Nutrient Management","active","prac",131
"era:practice:theme:010","era:scheme:practice","theme","Postharvest","active","prac",153
"era:practice:theme:011","era:scheme:practice","theme","Soil Management","active","prac",162
"era:practice:theme:012","era:scheme:practice","theme","Water Management","active","prac",195
"era:practice:practice:001","era:scheme:practice","practice","FMNR","active","prac",2
"era:practice:practice:002","era:scheme:practice","practice","Al","active","prac",3
"era:practice:practice:003","era:scheme:practice","practice","Pa","active","prac",7
"era:practice:practice:004","era:scheme:practice","practice","BP","active","prac",9
"era:practice:practice:005","era:scheme:practice","practice","Si","active","prac",11
"era:practice:practice:006","era:scheme:practice","practice","MA","active","prac",13
"era:practice:practice:007","era:scheme:practice","practice","AP","active","prac",14
"era:practice:practice:008","era:scheme:practice","practice","AF","active","prac",24
"era:practice:practice:009","era:scheme:practice","practice","OA","active","prac",27
"era:practice:practice:010","era:scheme:practice","practice","FA","active","prac",28
"era:practice:practice:011","era:scheme:practice","practice","FS","active","prac",33
"era:practice:practice:012","era:scheme:practice","practice","FP","active","prac",38
"era:practice:practice:013","era:scheme:practice","practice","GI","active","prac",41
"era:practice:practice:014","era:scheme:practice","practice","MM","active","prac",43
"era:practice:practice:015","era:scheme:practice","practice","PM","active","prac",46
"era:practice:practice:016","era:scheme:practice","practice","AqS","active","prac",51
"era:practice:practice:017","era:scheme:practice","practice","","active","prac",52
"era:practice:practice:018","era:scheme:practice","practice","","active","prac",54
"era:practice:practice:019","era:scheme:practice","practice","","active","prac",55
"era:practice:practice:020","era:scheme:practice","practice","","active","prac",56
"era:practice:practice:021","era:scheme:practice","practice","Ir","active","prac",58
"era:practice:practice:022","era:scheme:practice","practice","DIr","active","prac",59
"era:practice:practice:023","era:scheme:practice","practice","SIr","active","prac",62
"era:practice:practice:024","era:scheme:practice","practice","IRM","active","prac",64
