"concept_id","language","definition","source_column"
"era:practice:a1","en","Systematic regrowth of trees or shrubs on agricultural, forest or pasture land. FMNR is used in areas where there are stumps that can coppice or seeds that can germinate. Sometimes called farmer assisted regeneration.","Definition"
"era:practice:a3","en","Intercropping with rows or alleys of nitrogen fixing trees or woody shrubs.","Definition"
"era:practice:a4","en","Intercropping with rows or alleys of trees or woody shrubs that do not fix nitrogen.","Definition"
"era:practice:a4.1","en","Intercropping with rows or alleys of a mixture of trees or woody shrubs of which some but not all fix nitrogen.","Definition"
"era:practice:a14","en","Intercropping with rows or alleys of trees or woody shrubs where no information about the type of plant is given.","Definition"
"era:practice:a8","en","Intercropping under scattered or regularly planted trees.","Definition"
"era:practice:a8.1","en","Unspecified sparse or scattered trees incorporated into croplands, pastures or rangelands.","Definition"
"era:practice:a9","en","Barriers of trees or shrubs planted along field boundaries to protect plants against wind.","Definition"
"era:practice:a10","en","Living fence and hedges are planted in rows around the edge of the field to reduce the effect of wind or runoff on crops.","Definition"
"era:practice:a11","en","Combination of trees or shrubs with pasture (forage grasses) and livestock","Definition"
"era:practice:a22","en","Combination of livestock production systems (pastures) with trees or shrubs and crops.","Definition"
"era:practice:a12","en","Multistorey systems agroforestry systems have several spatial strata occupied by different tree (i.e. woody) crops (coffee, tea, cacao, banana etc).","Definition"
"era:practice:a15","en","Prunings (leaves, branches, etc.) of an unidentified woody plant were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","Definition"
"era:practice:a15.1","en","Prunings (leaves, branches, etc.) of an unidentified woody plant were applied to the cropping area as mulch (prunings on the surface).","Definition"
"era:practice:a15.2","en","Prunings (leaves, branches, etc.) of an unidentified woody plant were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","Definition"
"era:practice:a16","en","Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant residues were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","Definition"
"era:practice:a16.1","en","Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant applied were applied to the cropping area as mulch (prunings on the surface).","Definition"
"era:practice:a16.2","en","Prunings (leaves, branches, etc.) of a nitrogen fixing (leguminous) woody plant applied were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","Definition"
"era:practice:a17","en","Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant were retained/returned to the cropping area, but it is unknown if they were mulched or incorporated.","Definition"
"era:practice:a17.1","en","Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant applied were applied to the cropping area as mulch (prunings on the surface).","Definition"
"era:practice:a17.2","en","Prunings (leaves, branches, etc.) of a non-nitrogen fixing (not leguminous) woody plant applied were applied to the cropping area and incorporated into the soil (e.g., by ploughing).","Definition"
"era:practice:a18","en","The cutting or coppicing of woody agroforestry species, generally to reduce competition or shading with intercrops, but the fate of the residues is unknown (it is unclear if was applied or removed).","Definition"
"era:practice:a19.1","en","Planting fallows with short-rotation woody or perennial species that fix nitrogen.","Definition"
"era:practice:a19.2","en","Planting fallows with short-rotation woody or perennial species that do not fix nitrogen.","Definition"
"era:practice:a19.3","en","Planting fallows with short-rotation woody or perennial species of an unknown type.","Definition"
"era:practice:a99","en","Agroforestry practice that does not meet definitions in Agroforestry practice theme.","Definition"
"era:practice:d17.1","en","Feeds added to animal diets that come from non-woody crops not usually grown for fodder, but for another purpose (e.g. consumption). These can be crop grain. field residues (for example maize stalks left over once the grain component has been harvested) and or processing residues (for example the maize bran produced as a byproduct of milling flour). Soyabeans fit in this category as they are grown for human consumption and livestock feed.","Definition"
"era:practice:d17.2","en","Feeds added to animal diets that are non-woody crops grown primarily for fodder (e.g., alfafa or clover grown to feed to cattle) or non-woody plants harvested from non-cropped areas (e.g., forage grasses such as napier grass grown to stabilize terraces, cactus harvested from boundary fences, wild growing plants in wayside or fallows, algae, etc.).","Definition"
"era:practice:d17.3","en","Feeds added to animal diets that are from agroforestry shrub or tree fodders or other woody plants.","Definition"
"era:practice:d17.4","en","Feeds added to animal diets that are animal manures.","Definition"
"era:practice:d17.5","en","Feeds added to animal diets that are non-plant or non-manure based materials. These typically include materials that are the by-product of animal processing (e.g., bone meal or fish meal).","Definition"
"era:practice:d18.1","en","Components of a basal diet fully or partially substituted for residues from crops not primarily grown for fodder, but for another purpose (e.g. consumption). These can be field residues (for example maize stalks left over once the grain component has been harvested) and or processing residues (for example the maize bran produced as a byproduct of milling flour).","Definition"
"era:practice:d18.2","en","Components of a basal diet fully or partially substituted for non-woody crops grown primarily for fodder (e.g., alfafa or clover grown to feed to cattle) or non-woody plants harvested from non-cropped areas (e.g., forage grasses such as napier grass grown to stabilize terraces, cactus harvested from boundary fences, wild growing plants in wayside or fallows, algae, etc.). Feeds are added compared to a base practice control such as hay ad libitum only.","Definition"
"era:practice:d18.3","en","Components of a basal diet fully or partially substituted for agroforestry shrub or tree fodders (woody plants).","Definition"
"era:practice:d18.4","en","Components of a basal diet fully or partially substituted for animal manures.","Definition"
"era:practice:d18.5","en","Components of a basal diet fully or partially substituted with non-plant and non-manure based materials. These typically include materials for the by-product of animal processing (e.g., bone meal or fish meal).","Definition"
"era:practice:d22.1","en","Fodders that have been chemically processed, for example urea-treated stover or fermented fodders. Silage is a type of fodder made from green foliage crops which have been preserved by acidification, achieved through fermentation.","Definition"
"era:practice:d22.2","en","Fodders or plant wastes that have been mechanically processed, for example chopped or pelletted grasses or ground orange peel.","Definition"
"era:practice:d22.3","en","Non-forage feeds rich in energy and protein. Concentrates include feeds such as maize bran, cotton seed cake, molasses, fish meal and bean cake. Non-forage feeds may use energy or protein rich part plants such as seeds, whereas forage feeds are mainly plant leaves and stems.","Definition"
"era:practice:d9","en","The use of improved animal breeds, these are animals bred for specific traits usually productivity (typically breeds exotic to Africa like Friesen, Holstein or Jersey cows).","Definition"
"era:practice:d10","en","The use of animal cross breeds produced by the mating (hybridization) of individuals of different breeds, varieties, or species.","Definition"
"era:practice:d13","en","Techniques to collect manure, e.g, increased frequency of collection and removal from the kraal.","Definition"
"era:practice:d14","en","Manure storage techniques such as heaps, pits or dry lots.","Definition"
"era:practice:d15","en","Techniques for treatment of manure.","Definition"
"era:practice:d16","en","The movement of animals between different paddocks at intervals.","Definition"
"era:practice:d11","en","The planting of pastures with leguminous forages.","Definition"
"era:practice:d12","en","The planting of pastures with non-leguminous forages.","Definition"
"era:practice:d19","en","The restriction of animal movement within pastures. Controlled grazing is known by many names, such as rotational grazing, rotational stocking, intensive grazing and strip grazing. Typically a large pasture is subdivided into several smaller pastures (paddocks) by cross fencing and animals stocked in one of the paddocks. When the forage has been removed, cattle are rotated to the next paddock.","Definition"
"era:practice:d20","en","A system where animals are confined and feed is brought to them, also known as zero grazing.","Definition"
"era:practice:d1","en","An aquaculture practice in combination with a sylviculture practice in close spatial proximity. The classic example of this practice is fish or crustacean farming in mangroves, to conserve or restore mangrove trees and produce food.","Definition"
"era:practice:h60","en","A diet fed to animals without additional of anything.","Definition"
"era:practice:h61","en","Supplement given to animals by the farmer or deemed control by author and is","Definition"
"era:practice:h10.3","en","Conventional Manure handling (farmer practice).","Definition"
"era:practice:h11","en","Conventional pasture management. This could be the traditional or farmer practice or a practice the authors state as an unimproved control practice.","Definition"
"era:practice:h55.2","en","The breed breed practice is not specified as being improved or unimproved","Definition"
"era:practice:h55.1","en","A local or otherwise unimproved animal breed.","Definition"
"era:practice:b34","en","The use of plastic pipes to drip water into the soil at low pressure.","Definition"
"era:practice:b37","en","Application of water below full crop requirements compared to a control of conventional irrigation.","Definition"
"era:practice:b72","en","Application of irrigation through sprinkler technology.","Definition"
"era:practice:b36","en","Part of the root is exposed to drying soil and the remaining is irrigated in accordance with crop requirements and soil drying rate. This practice is also called partial root zone drying (PRD).","Definition"
"era:practice:b54","en","The addition of irrigation to typically rainfed crops.","Definition"
"era:practice:b53","en","The use of improved irrigation that isn't more specifically defined.","Definition"
