"scheme_id","concept_type","parent_id","source_label","source_notation","concept_id"
"era:scheme:practice","theme",,"Agroforestry","Agroforestry","era:practice:theme:001"
"era:scheme:practice","theme",,"Animals","Animals","era:practice:theme:002"
"era:scheme:practice","theme",,"Blue Water Management","Blue Water Management","era:practice:theme:003"
"era:scheme:practice","theme",,"Crop Management","Crop Management","era:practice:theme:004"
"era:scheme:practice","theme",,"Energy","Energy","era:practice:theme:005"
"era:scheme:practice","theme",,"Genetic improvement","Genetic improvement","era:practice:theme:006"
"era:scheme:practice","theme",,"Green Water Management","Green Water Management","era:practice:theme:007"
"era:scheme:practice","theme",,"Non-CSA","Non-CSA","era:practice:theme:008"
"era:scheme:practice","theme",,"Nutrient Management","Nutrient Management","era:practice:theme:009"
"era:scheme:practice","theme",,"Postharvest","Postharvest","era:practice:theme:010"
"era:scheme:practice","theme",,"Soil Management","Soil Management","era:practice:theme:011"
"era:scheme:practice","theme",,"Water Management","Water Management","era:practice:theme:012"
"era:scheme:practice","practice","era:practice:theme:001","FMNR","FMNR","era:practice:practice:001"
"era:scheme:practice","practice","era:practice:theme:001","Alleycropping","Al","era:practice:practice:002"
"era:scheme:practice","practice","era:practice:theme:001","Parklands","Pa","era:practice:practice:003"
"era:scheme:practice","practice","era:practice:theme:001","Boundary Planting","BP","era:practice:practice:004"
"era:scheme:practice","practice","era:practice:theme:001","Silvopasture","Si","era:practice:practice:005"
"era:scheme:practice","practice","era:practice:theme:001","Multistrata Agroforestry","MA","era:practice:practice:006"
"era:scheme:practice","practice","era:practice:theme:001","Agroforestry Pruning","AP","era:practice:practice:007"
"era:scheme:practice","practice","era:practice:theme:001","Agroforestry Fallow","AF","era:practice:practice:008"
"era:scheme:practice","practice","era:practice:theme:001","Other Agroforestry","OA","era:practice:practice:009"
"era:scheme:practice","practice","era:practice:theme:002","Feed Addition","FA","era:practice:practice:010"
"era:scheme:practice","practice","era:practice:theme:002","Feed Substitution","FS","era:practice:practice:011"
"era:scheme:practice","practice","era:practice:theme:002","Feed Processing","FP","era:practice:practice:012"
"era:scheme:practice","practice","era:practice:theme:002","Genetic Improvement","GI","era:practice:practice:013"
"era:scheme:practice","practice","era:practice:theme:002","Manure Management","MM","era:practice:practice:014"
"era:scheme:practice","practice","era:practice:theme:002","Pasture Management","PM","era:practice:practice:015"
"era:scheme:practice","practice","era:practice:theme:002","Aquasilviculture","AqS","era:practice:practice:016"
"era:scheme:practice","practice","era:practice:theme:002","Feed Addition; Feed Substitution",,"era:practice:practice:017"
"era:scheme:practice","practice","era:practice:theme:002","Manure Management",,"era:practice:practice:018"
"era:scheme:practice","practice","era:practice:theme:002","Pasture Management",,"era:practice:practice:019"
"era:scheme:practice","practice","era:practice:theme:002","Genetic Improvement",,"era:practice:practice:020"
"era:scheme:practice","practice","era:practice:theme:003","Irrigation","Ir","era:practice:practice:021"
"era:scheme:practice","practice","era:practice:theme:003","Deficit Irrigation","DIr","era:practice:practice:022"
"era:scheme:practice","practice","era:practice:theme:003","Supplemental Irrigation","SIr","era:practice:practice:023"
