"concept_id","language","label_type","label","source_column"
"era:practice:theme:001","en","pref","Agroforestry","Theme"
"era:practice:theme:002","en","pref","Animals","Theme"
"era:practice:theme:003","en","pref","Blue Water Management","Theme"
"era:practice:theme:004","en","pref","Crop Management","Theme"
"era:practice:theme:005","en","pref","Energy","Theme"
"era:practice:theme:006","en","pref","Genetic improvement","Theme"
"era:practice:theme:007","en","pref","Green Water Management","Theme"
"era:practice:theme:008","en","pref","Non-CSA","Theme"
"era:practice:theme:009","en","pref","Nutrient Management","Theme"
"era:practice:theme:010","en","pref","Postharvest","Theme"
"era:practice:theme:011","en","pref","Soil Management","Theme"
"era:practice:theme:012","en","pref","Water Management","Theme"
"era:practice:practice:001","en","pref","FMNR","Practice"
"era:practice:practice:002","en","pref","Alleycropping","Practice"
"era:practice:practice:003","en","pref","Parklands","Practice"
"era:practice:practice:004","en","pref","Boundary Planting","Practice"
"era:practice:practice:005","en","pref","Silvopasture","Practice"
"era:practice:practice:006","en","pref","Multistrata Agroforestry","Practice"
"era:practice:practice:007","en","pref","Agroforestry Pruning","Practice"
"era:practice:practice:008","en","pref","Agroforestry Fallow","Practice"
"era:practice:practice:009","en","pref","Other Agroforestry","Practice"
"era:practice:practice:010","en","pref","Feed Addition","Practice"
"era:practice:practice:011","en","pref","Feed Substitution","Practice"
"era:practice:practice:012","en","pref","Feed Processing","Practice"
"era:practice:practice:013","en","pref","Genetic Improvement","Practice"
"era:practice:practice:014","en","pref","Manure Management","Practice"
"era:practice:practice:015","en","pref","Pasture Management","Practice"
"era:practice:practice:016","en","pref","Aquasilviculture","Practice"
"era:practice:practice:017","en","pref","Feed Addition; Feed Substitution","Practice"
"era:practice:practice:018","en","pref","Manure Management","Practice"
"era:practice:practice:019","en","pref","Pasture Management","Practice"
"era:practice:practice:020","en","pref","Genetic Improvement","Practice"
"era:practice:practice:021","en","pref","Irrigation","Practice"
"era:practice:practice:022","en","pref","Deficit Irrigation","Practice"
"era:practice:practice:023","en","pref","Supplemental Irrigation","Practice"
"era:practice:practice:024","en","pref","Improved Rice Management","Practice"
"era:practice:practice:025","en","pref","Crop Rotation","Practice"
"era:practice:practice:026","en","pref","Crop Rotation","Practice"
"era:practice:practice:027","en","pref","Double Cropping","Practice"
"era:practice:practice:028","en","pref","Intercropping","Practice"
"era:practice:practice:029","en","pref","Green Manure","Practice"
"era:practice:practice:030","en","pref","Intercropping","Practice"
"era:practice:practice:031","en","pref","Intercropping or Rotation","Practice"
"era:practice:practice:032","en","pref","Biogas","Practice"
"era:practice:practice:033","en","pref","Biogas","Practice"
"era:practice:practice:034","en","pref","Cookstove","Practice"
"era:practice:practice:035","en","pref","Cookstove","Practice"
"era:practice:practice:036","en","pref","Biogas/cookstove","Practice"
"era:practice:practice:037","en","pref","Improved Varieties","Practice"
"era:practice:practice:038","en","pref","Unimproved Variety","Practice"
"era:practice:practice:039","en","pref","Water Harvesting","Practice"
"era:practice:practice:040","en","pref","Non-CSA","Practice"
"era:practice:practice:041","en","pref","Agronomy;Agroforestry","Practice"
"era:practice:practice:042","en","pref","Agronomy","Practice"
"era:practice:practice:043","en","pref","Inorganic Fertilizer","Practice"
"era:practice:practice:044","en","pref","Inorganic Fertilizer Reduction","Practice"
"era:practice:practice:045","en","pref","Organic Fertilizer","Practice"
"era:practice:practice:046","en","pref","Organic Fertilizer Substitution","Practice"
"era:practice:practice:047","en","pref","Fertilizer Control","Practice"
"era:practice:practice:048","en","pref","Harvest Method","Practice"
"era:practice:practice:049","en","pref","Storage","Practice"
"era:practice:practice:050","en","pref","Harvest Method","Practice"
"era:practice:practice:051","en","pref","Storage","Practice"
"era:practice:practice:052","en","pref","Reduced Tillage","Practice"
"era:practice:practice:053","en","pref","Mulch","Practice"
"era:practice:practice:054","en","pref","Green Manure","Practice"
"era:practice:practice:055","en","pref","Biochar","Practice"
"era:practice:practice:056","en","pref","pH Control","Practice"
"era:practice:practice:057","en","pref","Crop Residue","Practice"
"era:practice:practice:058","en","pref","Crop Residue Incorporation","Practice"
"era:practice:practice:059","en","pref","Improved Fallow","Practice"
"era:practice:practice:060","en","pref","Improved Fallow","Practice"
"era:practice:practice:061","en","pref","Conventional Tillage","Practice"
"era:practice:practice:062","en","pref","Crop Residue","Practice"
"era:practice:practice:063","en","pref","No-Till (Off-season)","Practice"
"era:practice:practice:064","en","pref","Reduced Tillage (Off-season)","Practice"
"era:practice:practice:065","en","pref","Irrigation","Practice"
"era:practice:practice:066","en","pref","Planting","Practice"
"era:practice:a1","en","pref","Farmer Managed Natural Regeneration","Subpractice"
"era:practice:a1","en","alt","FMNR","Subpractice.S"
"era:practice:a3","en","pref","Alleycropping (N fixing)","Subpractice"
"era:practice:a3","en","alt","AgFor Alley (Nfix)","Subpractice.S"
"era:practice:a4","en","pref","Alleycropping (Non N fixing)","Subpractice"
"era:practice:a4","en","alt","AgFor Alley (nonNfix)","Subpractice.S"
"era:practice:a4.1","en","pref","Alleycropping (Mixed)","Subpractice"
"era:practice:a4.1","en","alt","AgFor Alley (Mixed)","Subpractice.S"
"era:practice:a14","en","pref","Alleycropping (Unspecified)","Subpractice"
"era:practice:a14","en","alt","AgFor Alley (noID)","Subpractice.S"
"era:practice:a8","en","pref","Parklands","Subpractice"
"era:practice:a8.1","en","pref","Scattered Trees","Subpractice"
"era:practice:a9","en","pref","Tree Windbreak","Subpractice"
"era:practice:a9","en","alt","Windbreak","Subpractice.S"
"era:practice:a10","en","pref","Living Fences or Hedgerows","Subpractice"
"era:practice:a10","en","alt","Hedge","Subpractice.S"
"era:practice:a11","en","pref","Silvopasture","Subpractice"
"era:practice:a11","en","alt","Silvopastoral","Subpractice.S"
"era:practice:a22","en","pref","Agrosilvopastoral System","Subpractice"
"era:practice:a22","en","alt","Agrosilvopastoral","Subpractice.S"
"era:practice:a12","en","pref","Multistrata Agroforestry","Subpractice"
"era:practice:a12","en","alt","AgFor Multistrata","Subpractice.S"
"era:practice:a15","en","pref","Tree Prunings Applied (Unspecified)","Subpractice"
"era:practice:a15","en","alt","AgFor Prune (noID)","Subpractice.S"
"era:practice:a15.1","en","pref","Tree Prunings Mulched (Unspecified)","Subpractice"
"era:practice:a15.1","en","alt","AgFor Prune Mulch (noID)","Subpractice.S"
"era:practice:a15.2","en","pref","Tree Prunings Incorporated (Unspecified)","Subpractice"
"era:practice:a15.2","en","alt","AgFor Prune Incorp (noID)","Subpractice.S"
"era:practice:a16","en","pref","Tree Prunings Applied (N fixing)","Subpractice"
"era:practice:a16","en","alt","AgFor Prune (Nfix)","Subpractice.S"
"era:practice:a16.1","en","pref","Tree Prunings Mulched (N fixing)","Subpractice"
"era:practice:a16.1","en","alt","AgFor Prune Mulch (Nfix)","Subpractice.S"
"era:practice:a16.2","en","pref","Tree Prunings Incorporated (N fixing)","Subpractice"
