"concept_id","language","note_type","note","source_column"
"era:practice:a1","en","scope_note","Typically defined as FMNR or farmer assisted regeneration by author in text.","Notes"
"era:practice:a8","en","scope_note","Typically named parklands in the document text. Difference with scattered trees is unclear.","Notes"
"era:practice:a8.1","en","scope_note","Difference with Parklands is unclear, other than parklands is not mentioned in the definition.","Notes"
"era:practice:a10","en","scope_note","Note some early agroforestry papers named alleycropping 'hedgerows', but any form of hedge intercropped within a field should be categorized as alleycropping.","Notes"
"era:practice:a12","en","scope_note","Typically identified as multistrata in the document text.
- include two or more vegetation layers and more than one tree species
- multiple tree crop species and crops (N-fixing legume cover crops)","Notes"
"era:practice:a15","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field. It does not include situations where crop processing byproducts such as a oil palm bunch residues or walnut shells are applied to a field, these should be recorded using a regular mulch code.","Notes"
"era:practice:a15.1","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a15.2","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a16","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a16.1","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a16.2","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a17","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a17.1","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a17.2","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a18","en","scope_note","This could be from alleycropping, biomass transfer models or cut-and-carry where prunings come from off the field.","Notes"
"era:practice:a99","en","scope_note","Please notify ERA team if you use this code.","Notes"
