"concept_id","property","value","value_type","source_column"
"era:practice:a1","legacy_subpractice_code","FMNR","string","Subpractice.Code"
"era:practice:a1","legacy_short_label","FMNR","string","Subpractice.S"
"era:practice:a1","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:a1","linked_table","Int.Out","string","Linked.Tab"
"era:practice:a1","linked_column","ED.Int","string","Linked.Col"
"era:practice:a1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a3","legacy_subpractice_code","Al+N","string","Subpractice.Code"
"era:practice:a3","legacy_short_label","AgFor Alley (Nfix)","string","Subpractice.S"
"era:practice:a3","short_suffix","Nfix","string","Subpractice.Suffix"
"era:practice:a3","linked_table","Int.Out","string","Linked.Tab"
"era:practice:a3","linked_column","ED.Int","string","Linked.Col"
"era:practice:a3","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a4","legacy_subpractice_code","Al-N","string","Subpractice.Code"
"era:practice:a4","legacy_short_label","AgFor Alley (nonNfix)","string","Subpractice.S"
"era:practice:a4","short_suffix","nonNfix","string","Subpractice.Suffix"
"era:practice:a4","linked_table","Int.Out","string","Linked.Tab"
"era:practice:a4","linked_column","ED.Int","string","Linked.Col"
"era:practice:a4","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a4.1","legacy_subpractice_code","Al±N","string","Subpractice.Code"
"era:practice:a4.1","legacy_short_label","AgFor Alley (Mixed)","string","Subpractice.S"
"era:practice:a4.1","short_suffix","Mixed","string","Subpractice.Suffix"
"era:practice:a4.1","linked_table","Int.Out","string","Linked.Tab"
"era:practice:a4.1","linked_column","ED.Int","string","Linked.Col"
"era:practice:a4.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:a14","legacy_subpractice_code","Al","string","Subpractice.Code"
"era:practice:a14","legacy_short_label","AgFor Alley (noID)","string","Subpractice.S"
"era:practice:a14","short_suffix","NoID","string","Subpractice.Suffix"
"era:practice:a14","linked_table","Int.Out","string","Linked.Tab"
"era:practice:a14","linked_column","ED.Int","string","Linked.Col"
"era:practice:a14","legacy_deprecated","FALSE","boolean","Depreciated"
