"subject_id","relation_type","object_id"
"era:practice:practice:001","broader","era:practice:theme:001"
"era:practice:practice:002","broader","era:practice:theme:001"
"era:practice:practice:003","broader","era:practice:theme:001"
"era:practice:practice:004","broader","era:practice:theme:001"
"era:practice:practice:005","broader","era:practice:theme:001"
"era:practice:practice:006","broader","era:practice:theme:001"
"era:practice:practice:007","broader","era:practice:theme:001"
"era:practice:practice:008","broader","era:practice:theme:001"
"era:practice:practice:009","broader","era:practice:theme:001"
"era:practice:practice:010","broader","era:practice:theme:002"
"era:practice:practice:011","broader","era:practice:theme:002"
"era:practice:practice:012","broader","era:practice:theme:002"
"era:practice:practice:013","broader","era:practice:theme:002"
"era:practice:practice:014","broader","era:practice:theme:002"
"era:practice:practice:015","broader","era:practice:theme:002"
"era:practice:practice:016","broader","era:practice:theme:002"
"era:practice:practice:017","broader","era:practice:theme:002"
"era:practice:practice:018","broader","era:practice:theme:002"
"era:practice:practice:019","broader","era:practice:theme:002"
"era:practice:practice:020","broader","era:practice:theme:002"
"era:practice:practice:021","broader","era:practice:theme:003"
"era:practice:practice:022","broader","era:practice:theme:003"
"era:practice:practice:023","broader","era:practice:theme:003"
"era:practice:practice:024","broader","era:practice:theme:003"
"era:practice:practice:025","broader","era:practice:theme:004"
"era:practice:practice:026","broader","era:practice:theme:004"
"era:practice:practice:027","broader","era:practice:theme:004"
"era:practice:practice:028","broader","era:practice:theme:004"
"era:practice:practice:029","broader","era:practice:theme:004"
"era:practice:practice:030","broader","era:practice:theme:004"
"era:practice:practice:031","broader","era:practice:theme:004"
"era:practice:practice:032","broader","era:practice:theme:005"
"era:practice:practice:033","broader","era:practice:theme:005"
"era:practice:practice:034","broader","era:practice:theme:005"
"era:practice:practice:035","broader","era:practice:theme:005"
"era:practice:practice:036","broader","era:practice:theme:005"
"era:practice:practice:037","broader","era:practice:theme:006"
"era:practice:practice:038","broader","era:practice:theme:006"
"era:practice:practice:039","broader","era:practice:theme:007"
"era:practice:practice:040","broader","era:practice:theme:008"
"era:practice:practice:041","broader","era:practice:theme:008"
"era:practice:practice:042","broader","era:practice:theme:008"
"era:practice:practice:043","broader","era:practice:theme:009"
"era:practice:practice:044","broader","era:practice:theme:009"
"era:practice:practice:045","broader","era:practice:theme:009"
"era:practice:practice:046","broader","era:practice:theme:009"
"era:practice:practice:047","broader","era:practice:theme:009"
"era:practice:practice:048","broader","era:practice:theme:010"
"era:practice:practice:049","broader","era:practice:theme:010"
"era:practice:practice:050","broader","era:practice:theme:010"
"era:practice:practice:051","broader","era:practice:theme:010"
"era:practice:practice:052","broader","era:practice:theme:011"
"era:practice:practice:053","broader","era:practice:theme:011"
"era:practice:practice:054","broader","era:practice:theme:011"
"era:practice:practice:055","broader","era:practice:theme:011"
"era:practice:practice:056","broader","era:practice:theme:011"
"era:practice:practice:057","broader","era:practice:theme:011"
"era:practice:practice:058","broader","era:practice:theme:011"
"era:practice:practice:059","broader","era:practice:theme:011"
"era:practice:practice:060","broader","era:practice:theme:011"
"era:practice:practice:061","broader","era:practice:theme:011"
"era:practice:practice:062","broader","era:practice:theme:011"
"era:practice:practice:063","broader","era:practice:theme:011"
"era:practice:practice:064","broader","era:practice:theme:011"
"era:practice:practice:065","broader","era:practice:theme:012"
"era:practice:practice:066","broader","era:practice:theme:012"
"era:practice:a1","broader","era:practice:practice:001"
"era:practice:a3","broader","era:practice:practice:002"
"era:practice:a4","broader","era:practice:practice:002"
"era:practice:a4.1","broader","era:practice:practice:002"
"era:practice:a14","broader","era:practice:practice:002"
"era:practice:a8","broader","era:practice:practice:003"
"era:practice:a8.1","broader","era:practice:practice:003"
"era:practice:a9","broader","era:practice:practice:004"
"era:practice:a10","broader","era:practice:practice:004"
"era:practice:a11","broader","era:practice:practice:005"
"era:practice:a22","broader","era:practice:practice:005"
"era:practice:a12","broader","era:practice:practice:006"
"era:practice:a15","broader","era:practice:practice:007"
"era:practice:a15.1","broader","era:practice:practice:007"
"era:practice:a15.2","broader","era:practice:practice:007"
"era:practice:a16","broader","era:practice:practice:007"
"era:practice:a16.1","broader","era:practice:practice:007"
"era:practice:a16.2","broader","era:practice:practice:007"
"era:practice:a17","broader","era:practice:practice:007"
"era:practice:a17.1","broader","era:practice:practice:007"
"era:practice:a17.2","broader","era:practice:practice:007"
"era:practice:a18","broader","era:practice:practice:007"
"era:practice:a19.1","broader","era:practice:practice:008"
"era:practice:a19.2","broader","era:practice:practice:008"
"era:practice:a19.3","broader","era:practice:practice:008"
"era:practice:a99","broader","era:practice:practice:009"
"era:practice:d17.1","broader","era:practice:practice:010"
"era:practice:d17.2","broader","era:practice:practice:010"
"era:practice:d17.3","broader","era:practice:practice:010"
"era:practice:d17.4","broader","era:practice:practice:010"
"era:practice:d17.5","broader","era:practice:practice:010"
"era:practice:d18.1","broader","era:practice:practice:011"
"era:practice:d18.2","broader","era:practice:practice:011"
"era:practice:d18.3","broader","era:practice:practice:011"
"era:practice:d18.4","broader","era:practice:practice:011"
"era:practice:d18.5","broader","era:practice:practice:011"
"era:practice:d22.1","broader","era:practice:practice:012"
"era:practice:d22.2","broader","era:practice:practice:012"
"era:practice:d22.3","broader","era:practice:practice:012"
"era:practice:d9","broader","era:practice:practice:013"
"era:practice:d10","broader","era:practice:practice:013"
"era:practice:d13","broader","era:practice:practice:014"
"era:practice:d14","broader","era:practice:practice:014"
"era:practice:d15","broader","era:practice:practice:014"
"era:practice:d16","broader","era:practice:practice:015"
"era:practice:d11","broader","era:practice:practice:015"
"era:practice:d12","broader","era:practice:practice:015"
"era:practice:d19","broader","era:practice:practice:015"
"era:practice:d20","broader","era:practice:practice:015"
"era:practice:d1","broader","era:practice:practice:016"
"era:practice:h60","broader","era:practice:practice:017"
"era:practice:h61","broader","era:practice:practice:017"
"era:practice:h10.3","broader","era:practice:practice:018"
"era:practice:h11","broader","era:practice:practice:019"
"era:practice:h55.2","broader","era:practice:practice:020"
"era:practice:h55.1","broader","era:practice:practice:020"
"era:practice:b34","broader","era:practice:practice:021"
"era:practice:b37","broader","era:practice:practice:022"
"era:practice:b72","broader","era:practice:practice:021"
"era:practice:b36","broader","era:practice:practice:021"
"era:practice:b54","broader","era:practice:practice:023"
"era:practice:b53","broader","era:practice:practice:021"
"era:practice:b13","broader","era:practice:practice:024"
"era:practice:b14.1","broader","era:practice:practice:024"
"era:practice:b14.2","broader","era:practice:practice:024"
"era:practice:b15","broader","era:practice:practice:024"
"era:practice:b3.1","broader","era:practice:practice:025"
"era:practice:b3.2","broader","era:practice:practice:025"
"era:practice:b43","broader","era:practice:practice:025"
"era:practice:b44","broader","era:practice:practice:026"
"era:practice:b31","broader","era:practice:practice:026"
"era:practice:b48.1","broader","era:practice:practice:027"
"era:practice:b48.2","broader","era:practice:practice:027"
"era:practice:b48.3","broader","era:practice:practice:027"
"era:practice:b48.4","broader","era:practice:practice:027"
"era:practice:b49.1","broader","era:practice:practice:028"
"era:practice:b49.2","broader","era:practice:practice:028"
"era:practice:b49.3","broader","era:practice:practice:028"
"era:practice:b61.1","broader","era:practice:practice:028"
"era:practice:b61.2","broader","era:practice:practice:028"
"era:practice:b61.3","broader","era:practice:practice:028"
"era:practice:b13.3","broader","era:practice:practice:029"
"era:practice:b12.3","broader","era:practice:practice:029"
"era:practice:b11.3","broader","era:practice:practice:029"
"era:practice:b25","broader","era:practice:practice:030"
"era:practice:b50.1","broader","era:practice:practice:030"
"era:practice:b50.2","broader","era:practice:practice:030"
"era:practice:b50.3","broader","era:practice:practice:028"
"era:practice:b50.4","broader","era:practice:practice:030"
"era:practice:b55.1","broader","era:practice:practice:028"
"era:practice:b55.2","broader","era:practice:practice:028"
"era:practice:b55.3","broader","era:practice:practice:028"
"era:practice:b57","broader","era:practice:practice:028"
"era:practice:b59","broader","era:practice:practice:031"
"era:practice:c1","broader","era:practice:practice:032"
"era:practice:c4","broader","era:practice:practice:033"
"era:practice:c3","broader","era:practice:practice:032"
"era:practice:c2","broader","era:practice:practice:034"
"era:practice:c5","broader","era:practice:practice:034"
"era:practice:h14","broader","era:practice:practice:035"
"era:practice:h15","broader","era:practice:practice:036"
"era:practice:h16","broader","era:practice:practice:033"
"era:practice:h26","broader","era:practice:practice:035"
"era:practice:b4","broader","era:practice:practice:037"
"era:practice:b5","broader","era:practice:practice:037"
"era:practice:b6","broader","era:practice:practice:037"
"era:practice:b69","broader","era:practice:practice:037"
"era:practice:h55","broader","era:practice:practice:038"
"era:practice:b35","broader","era:practice:practice:039"
"era:practice:b33","broader","era:practice:practice:039"
"era:practice:b45","broader","era:practice:practice:039"
"era:practice:b46","broader","era:practice:practice:039"
"era:practice:b47","broader","era:practice:practice:039"
"era:practice:b68","broader","era:practice:practice:039"
"era:practice:b70","broader","era:practice:practice:039"
"era:practice:b71.1","broader","era:practice:practice:039"
"era:practice:b71.2","broader","era:practice:practice:039"
"era:practice:b71.3","broader","era:practice:practice:039"
"era:practice:b52","broader","era:practice:practice:039"
"era:practice:b56","broader","era:practice:practice:039"
"era:practice:b58","broader","era:practice:practice:039"
"era:practice:h1","broader","era:practice:practice:040"
"era:practice:h2","broader","era:practice:practice:041"
"era:practice:h38","broader","era:practice:practice:042"
"era:practice:h18","broader","era:practice:practice:041"
"era:practice:h50","broader","era:practice:practice:041"
"era:practice:h48","broader","era:practice:practice:042"
"era:practice:h66.1","broader","era:practice:practice:041"
"era:practice:h66.2","broader","era:practice:practice:041"
"era:practice:b16","broader","era:practice:practice:043"
"era:practice:b17","broader","era:practice:practice:043"
"era:practice:b21","broader","era:practice:practice:043"
"era:practice:b16.1","broader","era:practice:practice:044"
"era:practice:b17.1","broader","era:practice:practice:044"
"era:practice:b21.1","broader","era:practice:practice:044"
"era:practice:b64","broader","era:practice:practice:043"
"era:practice:b23","broader","era:practice:practice:043"
"era:practice:b29","broader","era:practice:practice:045"
"era:practice:b30","broader","era:practice:practice:045"
"era:practice:b75","broader","era:practice:practice:045"
"era:practice:b73","broader","era:practice:practice:045"
"era:practice:b74","broader","era:practice:practice:045"
"era:practice:b67","broader","era:practice:practice:045"
"era:practice:b29.1","broader","era:practice:practice:046"
"era:practice:b30.1","broader","era:practice:practice:046"
"era:practice:b75.1","broader","era:practice:practice:046"
"era:practice:b73.1","broader","era:practice:practice:046"
"era:practice:b67.1","broader","era:practice:practice:046"
"era:practice:h10","broader","era:practice:practice:047"
"era:practice:h10.1","broader","era:practice:practice:047"
"era:practice:h10.2","broader","era:practice:practice:047"
"era:practice:f1","broader","era:practice:practice:048"
"era:practice:f2","broader","era:practice:practice:048"
"era:practice:f3","broader","era:practice:practice:049"
"era:practice:f4","broader","era:practice:practice:049"
"era:practice:f5","broader","era:practice:practice:049"
"era:practice:h17","broader","era:practice:practice:050"
"era:practice:h21","broader","era:practice:practice:051"
"era:practice:h22","broader","era:practice:practice:051"
"era:practice:h30","broader","era:practice:practice:051"
"era:practice:b38","broader","era:practice:practice:052"
"era:practice:b39","broader","era:practice:practice:052"
"era:practice:b26","broader","era:practice:practice:053"
"era:practice:b27","broader","era:practice:practice:053"
"era:practice:b27.1","broader","era:practice:practice:053"
"era:practice:b27.2","broader","era:practice:practice:053"
"era:practice:b27.3","broader","era:practice:practice:053"
"era:practice:b51","broader","era:practice:practice:053"
"era:practice:b11.1","broader","era:practice:practice:054"
"era:practice:b11.2","broader","era:practice:practice:054"
"era:practice:b13.2","broader","era:practice:practice:054"
"era:practice:b12.1","broader","era:practice:practice:054"
"era:practice:b12.2","broader","era:practice:practice:054"
"era:practice:b28","broader","era:practice:practice:055"
"era:practice:b32","broader","era:practice:practice:056"
"era:practice:b40","broader","era:practice:practice:057"
"era:practice:b40.1","broader","era:practice:practice:057"
"era:practice:b40.2","broader","era:practice:practice:057"
"era:practice:b41","broader","era:practice:practice:058"
"era:practice:b41.1","broader","era:practice:practice:058"
"era:practice:b41.2","broader","era:practice:practice:058"
"era:practice:b60","broader","era:practice:practice:059"
"era:practice:b60.1","broader","era:practice:practice:059"
"era:practice:b60.2","broader","era:practice:practice:059"
"era:practice:b60.3","broader","era:practice:practice:059"
"era:practice:h24","broader","era:practice:practice:060"
"era:practice:h6","broader","era:practice:practice:061"
"era:practice:h35","broader","era:practice:practice:062"
"era:practice:h36","broader","era:practice:practice:062"
"era:practice:h39","broader","era:practice:practice:062"
"era:practice:h37","broader","era:practice:practice:062"
"era:practice:h6.1","broader","era:practice:practice:063"
"era:practice:h6.2","broader","era:practice:practice:064"
"era:practice:h7","broader","era:practice:practice:065"
"era:practice:h23","broader","era:practice:practice:065"
"era:practice:h3","broader","era:practice:practice:066"
"era:outcome:subpillar:001","broader","era:outcome:pillar:001"
"era:outcome:subpillar:002","broader","era:outcome:pillar:002"
"era:outcome:subpillar:003","broader","era:outcome:pillar:001"
"era:outcome:subpillar:004","broader","era:outcome:pillar:003"
"era:outcome:subpillar:005","broader","era:outcome:pillar:003"
"era:outcome:subpillar:006","broader","era:outcome:pillar:003"
"era:outcome:subpillar:007","broader","era:outcome:pillar:004"
"era:outcome:subpillar:008","broader","era:outcome:pillar:004"
"era:outcome:subpillar:009","broader","era:outcome:pillar:004"
"era:outcome:indicator:001","broader","era:outcome:subpillar:001"
"era:outcome:indicator:002","broader","era:outcome:subpillar:002"
"era:outcome:indicator:003","broader","era:outcome:subpillar:001"
"era:outcome:indicator:004","broader","era:outcome:subpillar:003"
"era:outcome:indicator:005","broader","era:outcome:subpillar:003"
"era:outcome:indicator:006","broader","era:outcome:subpillar:003"
"era:outcome:indicator:007","broader","era:outcome:subpillar:004"
"era:outcome:indicator:008","broader","era:outcome:subpillar:004"
"era:outcome:indicator:009","broader","era:outcome:subpillar:004"
"era:outcome:indicator:010","broader","era:outcome:subpillar:004"
"era:outcome:indicator:011","broader","era:outcome:subpillar:004"
