"source_sheet","source_row","concept_id"
"prac",2,"era:practice:a1"
"prac",3,"era:practice:a3"
"prac",4,"era:practice:a4"
"prac",5,"era:practice:a4.1"
"prac",6,"era:practice:a14"
"prac",7,"era:practice:a8"
"prac",8,"era:practice:a8.1"
"prac",9,"era:practice:a9"
"prac",10,"era:practice:a10"
"prac",11,"era:practice:a11"
"prac",12,"era:practice:a22"
"prac",13,"era:practice:a12"
"prac",14,"era:practice:a15"
"prac",15,"era:practice:a15.1"
"prac",16,"era:practice:a15.2"
"prac",17,"era:practice:a16"
"prac",18,"era:practice:a16.1"
"prac",19,"era:practice:a16.2"
"prac",20,"era:practice:a17"
"prac",21,"era:practice:a17.1"
"prac",22,"era:practice:a17.2"
"prac",23,"era:practice:a18"
"prac",24,"era:practice:a19.1"
"prac",25,"era:practice:a19.2"
"prac",26,"era:practice:a19.3"
"prac",27,"era:practice:a99"
"prac",28,"era:practice:d17.1"
"prac",29,"era:practice:d17.2"
"prac",30,"era:practice:d17.3"
"prac",31,"era:practice:d17.4"
"prac",32,"era:practice:d17.5"
"prac",33,"era:practice:d18.1"
"prac",34,"era:practice:d18.2"
"prac",35,"era:practice:d18.3"
"prac",36,"era:practice:d18.4"
"prac",37,"era:practice:d18.5"
"prac",38,"era:practice:d22.1"
"prac",39,"era:practice:d22.2"
"prac",40,"era:practice:d22.3"
"prac",41,"era:practice:d9"
"prac",42,"era:practice:d10"
"prac",43,"era:practice:d13"
"prac",44,"era:practice:d14"
"prac",45,"era:practice:d15"
"prac",46,"era:practice:d16"
"prac",47,"era:practice:d11"
"prac",48,"era:practice:d12"
"prac",49,"era:practice:d19"
"prac",50,"era:practice:d20"
"prac",51,"era:practice:d1"
"prac",52,"era:practice:h60"
"prac",53,"era:practice:h61"
"prac",54,"era:practice:h10.3"
"prac",55,"era:practice:h11"
"prac",56,"era:practice:h55.2"
"prac",57,"era:practice:h55.1"
"prac",58,"era:practice:b34"
"prac",59,"era:practice:b37"
"prac",60,"era:practice:b72"
"prac",61,"era:practice:b36"
"prac",62,"era:practice:b54"
"prac",63,"era:practice:b53"
"prac",64,"era:practice:b13"
"prac",65,"era:practice:b14.1"
"prac",66,"era:practice:b14.2"
"prac",67,"era:practice:b15"
"prac",68,"era:practice:b3.1"
"prac",69,"era:practice:b3.2"
"prac",70,"era:practice:b43"
"prac",71,"era:practice:b44"
"prac",72,"era:practice:b31"
"prac",73,"era:practice:b48.1"
"prac",74,"era:practice:b48.2"
"prac",75,"era:practice:b48.3"
"prac",76,"era:practice:b48.4"
"prac",77,"era:practice:b49.1"
"prac",78,"era:practice:b49.2"
"prac",79,"era:practice:b49.3"
"prac",80,"era:practice:b61.1"
"prac",81,"era:practice:b61.2"
"prac",82,"era:practice:b61.3"
"prac",83,"era:practice:b13.3"
"prac",84,"era:practice:b12.3"
"prac",85,"era:practice:b11.3"
"prac",86,"era:practice:b25"
"prac",87,"era:practice:b50.1"
