source,target,edge_type,status
AOM_000847,AOM_000846,broader,derived-from-levels
AOM_000849,AOM_000847,broader,derived-from-levels
AOM_000885,AOM_000849,broader,derived-from-levels
AOM_000886,AOM_000885,broader,derived-from-levels
AOM_000888,AOM_000886,broader,derived-from-levels
AOM_000887,AOM_000886,broader,derived-from-levels
AOM_000889,AOM_000885,broader,derived-from-levels
AOM_000890,AOM_000889,broader,derived-from-levels
AOM_000891,AOM_000890,broader,derived-from-levels
AOM_000892,AOM_000890,broader,derived-from-levels
AOM_000855,AOM_000849,broader,derived-from-levels
AOM_000856,AOM_000855,broader,derived-from-levels
AOM_000857,AOM_000855,broader,derived-from-levels
AOM_000858,AOM_000855,broader,derived-from-levels
AOM_000859,AOM_000858,broader,derived-from-levels
AOM_000860,AOM_000858,broader,derived-from-levels
AOM_000861,AOM_000855,broader,derived-from-levels
AOM_000862,AOM_000855,broader,derived-from-levels
AOM_000863,AOM_000862,broader,derived-from-levels
AOM_000865,AOM_000849,broader,derived-from-levels
AOM_000866,AOM_000865,broader,derived-from-levels
AOM_000867,AOM_000865,broader,derived-from-levels
AOM_000868,AOM_000867,broader,derived-from-levels
AOM_000869,AOM_000865,broader,derived-from-levels
AOM_000870,AOM_000869,broader,derived-from-levels
AOM_000871,AOM_000869,broader,derived-from-levels
AOM_000872,AOM_000865,broader,derived-from-levels
AOM_000873,AOM_000865,broader,derived-from-levels
AOM_000893,AOM_000849,broader,derived-from-levels
AOM_000894,AOM_000893,broader,derived-from-levels
AOM_000895,AOM_000894,broader,derived-from-levels
AOM_000896,AOM_000894,broader,derived-from-levels
AOM_000897,AOM_000893,broader,derived-from-levels
AOM_000898,AOM_000897,broader,derived-from-levels
AOM_000899,AOM_000898,broader,derived-from-levels
AOM_003052,AOM_000893,broader,derived-from-levels
AOM_000928,AOM_000847,broader,derived-from-levels
AOM_000929,AOM_000928,broader,derived-from-levels
AOM_000930,AOM_000929,broader,derived-from-levels
AOM_000931,AOM_000929,broader,derived-from-levels
AOM_000848,AOM_000847,broader,derived-from-levels
AOM_000932,AOM_000848,broader,derived-from-levels
AOM_000933,AOM_000932,broader,derived-from-levels
AOM_000934,AOM_000932,broader,derived-from-levels
AOM_000935,AOM_000932,broader,derived-from-levels
AOM_000900,AOM_000848,broader,derived-from-levels
AOM_003029,AOM_003027,broader,derived-from-levels
AOM_003028,AOM_003027,broader,derived-from-levels
AOM_003200,AOM_003027,broader,derived-from-levels
AOM_000905,AOM_003027,broader,derived-from-levels
AOM_000908,AOM_000905,broader,derived-from-levels
AOM_000906,AOM_000905,broader,derived-from-levels
AOM_000907,AOM_000905,broader,derived-from-levels
