"sheet","column_position","column","inferred_scalar_type","nonblank_values","blank_values","distinct_nonblank_values","candidate_key","duplicate_header"
"era_fields_v1",1,"Field.Name","text",106,30,106,FALSE,FALSE
"era_fields_v1",2,"Data.Type","text",106,30,7,FALSE,FALSE
"era_fields_v1",3,"Description","text",109,27,108,FALSE,FALSE
"era_fields_v1",4,"Example","text",93,43,83,FALSE,FALSE
"era_fields_v2",1,"Table","text",752,2,47,FALSE,FALSE
"era_fields_v2",2,"Table_Description","text",254,500,19,FALSE,FALSE
"era_fields_v2",3,"Field","text",751,3,554,FALSE,FALSE
"era_fields_v2",4,"majestic_hippo_2020","text",749,5,11,FALSE,FALSE
"era_fields_v2",5,"skinny_cow_2022","text",720,34,3,FALSE,FALSE
"era_fields_v2",6,"industrious_elephant_2023","text",749,5,3,FALSE,FALSE
"era_fields_v2",7,"courageous_camel_2024","text",751,3,4,FALSE,FALSE
"era_fields_v2",8,"key_type","text",127,627,2,FALSE,FALSE
"era_fields_v2",9,"source_table","text",84,670,21,FALSE,FALSE
"era_fields_v2",10,"lookup_table","empty",0,754,0,FALSE,FALSE
"era_fields_v2",11,"Calculated","text",603,151,5,FALSE,FALSE
"era_fields_v2",12,"Display_Name","text",670,84,369,FALSE,FALSE
"era_fields_v2",13,"Data_Type","text",634,120,9,FALSE,FALSE
"era_fields_v2",14,"Field_Description","text",481,273,315,FALSE,FALSE
"era_fields_v2",15,"Notes","text",4,750,3,FALSE,FALSE
"era_fields_v2",16,"Values","text",480,274,155,FALSE,FALSE
"era_fields_v2",17,"Validation","text",496,258,77,FALSE,FALSE
"era_fields_v2",18,"Required","text",512,242,35,FALSE,FALSE
"era_fields_v2",19,"Ref_Source","text",396,358,4,FALSE,FALSE
"era_fields_v2",20,"Ref_Name","text",336,418,73,FALSE,FALSE
"era_fields_v2",21,"Ref_Link","text",336,418,73,FALSE,FALSE
"era_fields_v2",22,"Ref_Match","text",394,360,6,FALSE,FALSE
"era_fields_v2",23,"Ref_Notes","text",331,423,77,FALSE,FALSE
"era_fields_v2",24,"Translation source","text",216,538,2,FALSE,FALSE
"era_fields_v2",25,"Spanish Translation","text",208,546,133,FALSE,FALSE
"era_fields_v2",26,"Ref2_DataScribe","text",320,434,4,FALSE,FALSE
"era_fields_v2",27,"Ref2_Source","text",302,452,17,FALSE,FALSE
"era_fields_v2",28,"Ref2_Name","text",299,455,58,FALSE,FALSE
"era_fields_v2",29,"Ref2_Link","text",299,455,54,FALSE,FALSE
"era_fields_v2",30,"Ref2_Match","text",314,440,6,FALSE,FALSE
"era_fields_v2",31,"Ref2_Notes","text",266,488,36,FALSE,FALSE
"era_fields_v2",32,"Other_Links","text",170,584,3,FALSE,FALSE
"prac",1,"Code","text",196,0,196,TRUE,FALSE
"prac",2,"Theme","text",196,0,12,FALSE,FALSE
"prac",3,"Theme.Code","text",196,0,12,FALSE,FALSE
"prac",4,"Practice","text",196,0,53,FALSE,FALSE
"prac",5,"Practice.Code","text",138,58,41,FALSE,FALSE
"prac",6,"Subpractice","text",196,0,196,TRUE,FALSE
"prac",7,"Subpractice.Code","text",138,58,136,FALSE,FALSE
"prac",8,"Subpractice.S","text",172,24,171,FALSE,FALSE
"prac",9,"Subpractice.Suffix","text",145,51,24,FALSE,FALSE
"prac",10,"Definition","text",195,1,195,FALSE,FALSE
"prac",11,"Notes","text",85,111,46,FALSE,FALSE
"prac",12,"Linked.Tab","text",146,50,14,FALSE,FALSE
"prac",13,"Linked.Col","text",159,37,14,FALSE,FALSE
"prac",14,"Depreciated","logical",195,1,2,FALSE,FALSE
"prod",1,"EU","text",414,0,413,FALSE,FALSE
"prod",2,"Product.Type","text",414,0,3,FALSE,FALSE
"prod",3,"Product.Type.Code","text",414,0,3,FALSE,FALSE
"prod",4,"Product.Subtype","text",414,0,25,FALSE,FALSE
"prod",5,"Product.Subtype.Code","text",414,0,25,FALSE,FALSE
"prod",6,"Product","text",414,0,403,FALSE,FALSE
"prod",7,"Product.Simple","text",414,0,352,FALSE,FALSE
"prod",8,"Product.Simple.Code","text",414,0,352,FALSE,FALSE
"prod",9,"Component","text",414,0,22,FALSE,FALSE
"prod",10,"Latin.Name","text",400,14,316,FALSE,FALSE
"prod",11,"Notes","text",35,379,25,FALSE,FALSE
"prod",12,"Nfix","text",414,0,3,FALSE,FALSE
"prod",13,"Tree","text",414,0,3,FALSE,FALSE
"prod",14,"Mulched","text",414,0,7,FALSE,FALSE
"prod",15,"Incorp","text",414,0,7,FALSE,FALSE
"prod",16,"Unknown.Fate","text",414,0,7,FALSE,FALSE
"prod",17,"ECOCROP.Name","text",363,51,234,FALSE,FALSE
"prod",18,"ECOCROP.Notes","text",107,307,42,FALSE,FALSE
"prod",19,"ICC_Code_1.1","text",386,28,130,FALSE,FALSE
"prod",20,"ICC_CropName","text",389,25,154,FALSE,FALSE
"prod",21,"Livestock_Group","text",404,10,10,FALSE,FALSE
"prod",22,"Livestock_Class","text",405,9,22,FALSE,FALSE
"prod",23,"Livestock_Descriptor","text",405,9,22,FALSE,FALSE
"prod",24,"CPC_Code_2.1","text",403,11,19,FALSE,FALSE
"prod",25,"WFO_Code","text",410,4,297,FALSE,FALSE
"prod",26,"UN_Comtrade_Code_1","text",382,32,167,FALSE,FALSE
"prod",27,"UN_Comtrade_Description_1","text",218,196,166,FALSE,FALSE
"prod",28,"UN_Comtrade_Code_2","text",19,395,6,FALSE,FALSE
"prod",29,"UN_Comtrade_Description_2","text",19,395,6,FALSE,FALSE
"prod",30,"MapSPAM","text",56,358,32,FALSE,FALSE
"lookup_levels",1,"Table","text",677,5,23,FALSE,FALSE
"lookup_levels",2,"Field","text",682,0,84,FALSE,FALSE
"lookup_levels",3,"Values_Old","text",420,262,343,FALSE,FALSE
"lookup_levels",4,"Values_New","text",682,0,547,FALSE,FALSE
"lookup_levels",5,"Description","text",468,214,393,FALSE,FALSE
"lookup_levels",6,"GPT_Description_Checked","text",420,262,6,FALSE,FALSE
"lookup_levels",7,"Translation_Source","empty",0,682,0,FALSE,FALSE
"lookup_levels",8,"Value_Spanish","empty",0,682,0,FALSE,FALSE
"lookup_levels",9,"Description_Spanish","empty",0,682,0,FALSE,FALSE
"lookup_levels",10,"Ref_Source","empty",0,682,0,FALSE,FALSE
"lookup_levels",11,"Ref_Name","empty",0,682,0,FALSE,FALSE
"lookup_levels",12,"Ref_Link","empty",0,682,0,FALSE,FALSE
"lookup_levels",13,"Ref_Match","empty",0,682,0,FALSE,FALSE
"lookup_levels",14,"Ref_Notes","empty",0,682,0,FALSE,FALSE
"lookup_levels",15,"Ref2_DataScribe","empty",0,682,0,FALSE,FALSE
"lookup_levels",16,"Ref2_Source","empty",0,682,0,FALSE,FALSE
"lookup_levels",17,"Ref2_Name","empty",0,682,0,FALSE,FALSE
"lookup_levels",18,"Ref2_Link","empty",0,682,0,FALSE,FALSE
"lookup_levels",19,"Ref2_Match","empty",0,682,0,FALSE,FALSE
"lookup_levels",20,"Ref2_Notes","empty",0,682,0,FALSE,FALSE
"lookup_levels",21,"Other_Links","empty",0,682,0,FALSE,FALSE
"prod_comp",1,"Component","text",81,0,81,TRUE,FALSE
"prod_comp",2,"Comp.Level1","text",81,0,27,FALSE,FALSE
"prod_comp",3,"Comp.Level2","text",79,2,35,FALSE,FALSE
"prod_comp",4,"Comp.Level3","text",47,34,30,FALSE,FALSE
"out",1,"Code","numeric",116,0,116,TRUE,FALSE
"out",2,"Pillar","text",116,0,4,FALSE,FALSE
"out",3,"Pillar.Code","text",116,0,4,FALSE,FALSE
"out",4,"Subpillar","text",116,0,9,FALSE,FALSE
"out",5,"Subpillar.Code","text",116,0,9,FALSE,FALSE
"out",6,"Indicator","text",116,0,17,FALSE,FALSE
"out",7,"Indicator.Code","text",116,0,18,FALSE,FALSE
"out",8,"Subindicator","text",116,0,116,TRUE,FALSE
"out",9,"Subindicator.Short","text",113,3,113,FALSE,FALSE
"out",10,"Subindicator.Code","text",113,3,113,FALSE,FALSE
"out",11,"Definition","text",116,0,116,TRUE,FALSE
"out",12,"Notes","text",77,39,51,FALSE,FALSE
"out",13,"Example units","text",113,3,52,FALSE,FALSE
"out",14,"Original.Outcome","empty",0,116,0,FALSE,FALSE
"out",15,"Negative Values","text",116,0,2,FALSE,FALSE
"out",16,"Sign","text",116,0,3,FALSE,FALSE
"out",17,"TC.Ratio","text",116,0,2,FALSE,FALSE
"out",18,"Not.Perc","text",116,0,4,FALSE,FALSE
"out",19,"Depreciated","logical",116,0,2,FALSE,FALSE
"out",20,"Previous.Names","text",3,113,3,FALSE,FALSE
"out_econ",1,"AOM","text",65,0,1,FALSE,FALSE
"out_econ",2,"Category","text",65,0,7,FALSE,FALSE
"out_econ",3,"Variable","text",65,0,64,FALSE,FALSE
"out_econ",4,"Definition","text",63,2,63,FALSE,FALSE
"fert",1,"F.Category","text",283,0,9,FALSE,FALSE
"fert",2,"F.Type","text",104,179,104,FALSE,FALSE
"fert",3,"F.Category_New","text",283,0,9,FALSE,FALSE
"fert",4,"F.Type_New","text",283,0,276,FALSE,FALSE
"fert",5,"F.Exclude","logical",283,0,2,FALSE,FALSE
"fert",6,"F.Type_synonym","text",65,218,64,FALSE,FALSE
"fert",7,"GPT_Description","text",152,131,149,FALSE,FALSE
"fert",8,"GPT_Description_Checked","logical",65,218,2,FALSE,FALSE
"fert",9,"CHEBI","text",35,248,26,FALSE,FALSE
"fert",10,"F.N","text",80,203,14,FALSE,FALSE
"fert",11,"F.P","text",80,203,25,FALSE,FALSE
"fert",12,"F.K","text",80,203,11,FALSE,FALSE
"fert",13,"F.S","text",77,206,12,FALSE,FALSE
"fert",14,"F.CA","text",77,206,17,FALSE,FALSE
"fert",15,"F.Mg","text",77,206,7,FALSE,FALSE
"fert",16,"Fert.Code1","text",282,1,13,FALSE,FALSE
"fert",17,"Fert.Code2","text",282,1,5,FALSE,FALSE
"fert",18,"Fert.Code3","text",282,1,4,FALSE,FALSE
"fert",19,"Fert.Code4","text",283,0,2,FALSE,FALSE
"fert",20,"F.Compound","text",283,0,2,FALSE,FALSE
