"sheet_order","sheet","resource_type","publication","decision_status","rows_read","nonblank_rows","columns","blank_cells","duplicate_header_positions"
1,"bibliography","operational","exclude","proposed",0,0,0,0,0
2,"era_fields_v1","data_model","public","proposed",136,136,4,130,0
3,"era_fields_v2","data_model","public","proposed",754,753,32,11124,0
4,"prac","concept_scheme","public","proposed",196,196,14,391,0
5,"prod","concept_scheme","public","proposed",414,414,30,2223,0
6,"lookup_levels","data_model","public","proposed",682,682,21,10973,0
7,"prod_comp","concept_scheme","public","proposed",81,81,4,36,0
8,"out","concept_scheme","public","proposed",116,116,20,277,0
9,"out_econ","concept_scheme","public","proposed",65,65,4,2,0
10,"fert","concept_scheme","public","proposed",283,283,20,2224,0
11,"chem","concept_scheme","public","proposed",319,319,18,1580,6
12,"countries","code_list","public","proposed",77,77,6,0,0
13,"trees","concept_scheme","public","proposed",217,217,13,228,0
14,"journals","code_list","public","proposed",528,528,2,0,0
15,"site_list","code_list","review","proposed",808,808,10,1597,0
16,"residues","crosswalk","public","proposed",73,73,2,2,0
17,"vars","concept_scheme","public","proposed",3693,3693,16,3925,0
18,"vars_animals","concept_scheme","public","proposed",445,445,17,1022,2
19,"var_traits","crosswalk","public","proposed",104,104,2,0,0
20,"AOM READ.ME","documentation","exclude","proposed",65,52,9,466,8
21,"AOM","concept_scheme","public","proposed",2503,2503,38,48337,0
22,"ani_diet","concept_scheme","public","proposed",1806,1806,21,20053,0
23,"ani_process","concept_scheme","public","proposed",175,175,13,1220,3
24,"ssa_feedsdb","closed","exclude","confirmed",771,771,32,11700,6
25,"AOM_diets","concept_scheme","public","proposed",1193,849,25,22775,8
26,"unit_harmonization","crosswalk","public","proposed",1105,1105,2,64,0
27,"dois","operational","exclude","proposed",1854,1854,1,0,0
28,"aez","code_list","public","proposed",16,16,14,30,0
29,"dups","scratch","exclude","proposed",95,95,7,298,0
30,"OLD_diet_process","legacy","exclude","proposed",26,26,6,83,0
31,"OLD_diet_item","legacy","exclude","proposed",266,266,28,4111,0
32,"OLD_era_fields_v1","legacy","exclude","proposed",1068,1023,11,4836,0
33,"scio - Custom Terms","scratch","exclude","proposed",314,314,6,314,0
