uri,preferred_label,retrieved_on,status
http://aims.fao.org/aos/agrovoc/c_16043,soybean meal,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_16027,rapeseed meal,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_29474,maize oil,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_4656,maturity,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_9022,avocados,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_5514,palm oils,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_25506,sunflower oil,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_8170,plant oils,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_35679,groundnut meal,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_a40b4471,maize straw,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_13356,pigeon peas,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_36344,palm kernel cake,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_27459,beet pulp,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_16508,soybean oil,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_50,Acacia tortilis,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_d859f064,maize bran,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_1323858907498,Acacia sieberiana,2026-08-06,retrieved
http://aims.fao.org/aos/agrovoc/c_15843,Leucaena leucocephala,2026-08-06,retrieved
