concept_id,preferred_label,recommended_route,public_mapping_schemes,public_mapping_targets
AOM_000545,Fish Processing Waste,research_taxon_insufficient_for_material,ncbi-taxonomy,http://purl.obolibrary.org/obo/NCBITaxon_7898
AOM_000547,Nile Perch Fish Oil,research_taxon_insufficient_for_material,ncbi-taxonomy,http://purl.obolibrary.org/obo/NCBITaxon_29147
AOM_000554,Insect,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy,02199;http://purl.obolibrary.org/obo/NCBITaxon_50557
AOM_000591,Wheat Shorts,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,0111;http://purl.obolibrary.org/obo/NCBITaxon_4565;wfo-0000905667
AOM_000604,Groundnut Haulm,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,0142;http://purl.obolibrary.org/obo/NCBITaxon_3818;wfo-0000174378
AOM_000610,Soybean Cake,research_public_ontology,agrovoc;cpc-component;cpc-product;ncbi-taxonomy;world-flora-online,0141;2191;http://aims.fao.org/aos/agrovoc/c_16043;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462
AOM_000611,Soybean Full Fat Cake,research_public_ontology,agrovoc;cpc-component;cpc-product;ncbi-taxonomy;world-flora-online,0141;2191;http://aims.fao.org/aos/agrovoc/c_16043;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462
AOM_000614,Soybean Residue,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,0141;http://purl.obolibrary.org/obo/NCBITaxon_3847;wfo-0000181462
AOM_000616,Canola Cake,research_public_ontology,agrovoc;cpc-component;ncbi-taxonomy;world-flora-online,2191;http://aims.fao.org/aos/agrovoc/c_16027;http://purl.obolibrary.org/obo/NCBITaxon_3708;wfo-0000571271
AOM_000638,Cassava Shaft,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01520;http://purl.obolibrary.org/obo/NCBITaxon_3983;wfo-0000235507
AOM_000640,Yam Peels,research_taxon_insufficient_for_material,cpc-product;ncbi-taxonomy;world-flora-online,01540;http://purl.obolibrary.org/obo/NCBITaxon_4672;wfo-7000000192
