concept_id,preferred_label,canonical_path,queue_path,path_alignment,workbook_description,workbook_sha256
AOM_000535,Ingredient source,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Ingredient source,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Ingredient source,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000556,Milk,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Milk,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal/Milk,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000559,Animal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000561,Animal Manures,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Animal Manures,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000594,Cereal ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000662,Cereal Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Cereal Products,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000665,Fruit Product,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Fruit Product,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000667,Legume Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Legume Products,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000677,Oil Plant Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Product/Oil Plant Products,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000693,Grass Local,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Grass Local,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Grass Local,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000695,Luscious Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Luscious Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Luscious Pasture,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000697,Natural Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Pasture/Natural Pasture,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000700,Unspecified Grazing,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Unspecified Grazing,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Cereal and Grass Forages/Unspecified Grazing,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000718,Forage Trees,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Forage Trees,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000734,Other Forage Plants,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Other Forage Plants,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Forage Plants/Other Forage Plants,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000736,Supplement,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000737,Amino Acid,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Amino Acid,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Amino Acid,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000743,Carboxymethyl Cellulose,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Carboxymethyl Cellulose,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Carboxymethyl Cellulose,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000744,Cement,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Cement,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder/Cement,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000745,Binder,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Binder,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000746,Chromium Oxide,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker/Chromium Oxide,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker/Chromium Oxide,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000747,Digestibility Marker,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Digestibility Marker,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000748,Asperozym (Fibrolytic Enzymes),Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Asperozym (Fibrolytic Enzymes),Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Asperozym (Fibrolytic Enzymes),aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000749,Axtra Phy Broiler,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Axtra Phy Broiler,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Supplement/Enzyme/Axtra Phy Broiler,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
AOM_000753,Bicarbonate of Soda,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Bicarbonate of Soda,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Other Ingredients/Bicarbonate of Soda,aligned,,f834c4f7837927774499eff4340c912784a3db10c2e19bd5d75a7f753df41438
