concept_id,preferred_label
AOM_000571,Maize Offal
AOM_000577,Rice Offal
AOM_000578,Rice Polish
AOM_000589,Wheat Offal
AOM_000601,Cowpea Haulm
AOM_000603,Fava Bean Haulm
AOM_000615,Legume ByProducts
AOM_000706,Acacia tortilis
AOM_001190,Noug
AOM_001216,Indigofera indica
AOM_001265,Ziziphus mauritiania
AOM_001373,Cellulose
AOM_001446,Sorghum sudanense
AOM_001455,Triticum
AOM_001462,Cynadon dactylon
AOM_001476,Lolium multiflorum
AOM_001479,Megathyrsus maximus
AOM_001482,Sugar Beet Molasses
AOM_001523,Tripsacum laxum
AOM_001524,Piliostigma thonningii
AOM_001563,Ulva rigida
AOM_001618,Oat Fodder
AOM_001785,Elionurus muticus
AOM_001811,Rumen Contents
AOM_001845,Malt Sprout
AOM_001892,Sorghum Threshed Top
AOM_001967,Grewia spp.
AOM_002132,Rottboellia cochinchinensis
AOM_002166,Sugarcane Bagasse
AOM_002218,Mung Bean Haulm
AOM_003072,Groundnut
AOM_003075,Balanites aegyptiaca
AOM_003206,Poultry byproduct
AOM_003482,Sugar Beet
AOM_003893,Bambusa balcooa
AOM_003911,Cassava Sieviate
AOM_004002,Maize Yellow
AOM_006008,Chicken Manure
AOM_006160,Brewers By-Product
