concept_id,preferred_label
AOM_000538,Bone Ash
AOM_000540,Bone
AOM_000654,Millet
AOM_000671,Palm Oil
AOM_001145,Faidherbia albida
AOM_001149,Gliricidia sepium
AOM_001166,Opuntia ficus indica
AOM_001208,Centrosema pubescens
AOM_001282,Enset
AOM_001317,Soybean Full Fat
AOM_001334,Pearl Millet
AOM_001380,Andropogon gayanus
AOM_001383,Andropogon guianensis
AOM_001389,Digitaria decumbens
AOM_001397,Bracharia decumbens
AOM_001407,Panicum maximum
AOM_001527,Centrosema molle
AOM_001582,Soybean
AOM_001797,Gliciridia sepium
AOM_001818,Ensete ventricosum Corm
AOM_001837,Palm Oil Sludge
AOM_001914,Opuntia ficus indica Cladode
AOM_002106,Cocoa Bean Cake
AOM_002107,Cocoa Bean
AOM_002136,Linseed Cake
AOM_002206,Acacia Albida
AOM_003677,Panicum
AOM_004255,Flaxseed
AOM_006031,Bambusa vulgaris
AOM_006119,Hyparrhenia hirta
AOM_006350,Bambusa bambos
AOM_006369,Hyparrhenia
