concept_id,preferred_label
AOM_000538,Bone Ash
AOM_000540,Bone
AOM_000558,Shell
AOM_000571,Maize Offal
AOM_000577,Rice Offal
AOM_000578,Rice Polish
AOM_000589,Wheat Offal
AOM_000603,Fava Bean Haulm
AOM_000615,Legume ByProducts
AOM_000638,Cassava Shaft
AOM_000654,Millet
AOM_000664,Ripe Avocado
AOM_000671,Palm Oil
AOM_000672,Palm Oil Crude
AOM_000676,Vegetable Oil
AOM_000693,Grass Local
AOM_000695,Luscious Pasture
AOM_000706,Acacia tortilis
AOM_000748,Asperozym (Fibrolytic Enzymes)
AOM_000749,Axtra Phy Broiler
AOM_000765,Maclik
AOM_001105,Lake Shells
AOM_001145,Faidherbia albida
AOM_001149,Gliricidia sepium
AOM_001151,Gmelina arborea
AOM_001166,Opuntia ficus indica
AOM_001190,Noug
AOM_001208,Centrosema pubescens
AOM_001216,Indigofera indica
AOM_001265,Ziziphus mauritiania
AOM_001282,Enset
AOM_001309,Canola
AOM_001317,Soybean Full Fat
AOM_001333,Oil
AOM_001373,Cellulose
AOM_001380,Andropogon gayanus
AOM_001382,Andropogon abyssinica
AOM_001383,Andropogon guianensis
AOM_001389,Digitaria decumbens
AOM_001397,Bracharia decumbens
AOM_001407,Panicum maximum
AOM_001446,Sorghum sudanense
AOM_001455,Triticum
AOM_001462,Cynadon dactylon
AOM_001465,Cynodon nlemfuensis
AOM_001475,Lolium
AOM_001476,Lolium multiflorum
AOM_001479,Megathyrsus maximus
AOM_001497,Megalac
AOM_001500,ACTIPAL HP 1
AOM_001501,AquaNutro Abalone Grower
AOM_001508,Lactobacillus plantarum
AOM_001523,Tripsacum laxum
AOM_001524,Piliostigma thonningii
AOM_001526,Lotus corniculatus
AOM_001527,Centrosema molle
AOM_001536,Chromolaena odorata
AOM_001561,Ulva lactuca
AOM_001562,Ulva armoricana
AOM_001563,Ulva rigida
AOM_001579,Elancoban
AOM_001582,Soybean
AOM_001618,Oat Fodder
AOM_001760,Acacia etbaica
AOM_001766,Acacia polyacantha
AOM_001771,Leucaena pallida
AOM_001785,Elionurus muticus
AOM_001797,Gliciridia sepium
AOM_001805,African Palm Larvae
AOM_001821,Terminalia brownii
AOM_001831,Vitalite
AOM_001868,Toxynil
AOM_001870,Prime Gluten 60
AOM_001871,Urtica dioica
AOM_001892,Sorghum Threshed Top
AOM_001903,Asteraceae
AOM_001921,Vitalyte
AOM_001967,Grewia spp.
AOM_002107,Cocoa Bean
AOM_002132,Rottboellia cochinchinensis
AOM_002200,Chlorella vulgaris
AOM_002206,Acacia Albida
AOM_002218,Mung Bean Haulm
AOM_003064,Aspilia africana
AOM_003075,Balanites aegyptiaca
AOM_003172,Food Waste
AOM_003206,Poultry byproduct
AOM_003359,Onion Veins
AOM_003677,Panicum
AOM_003747,Axtra XAP
AOM_003749,Natuzyme
AOM_003858,Groundnut Veins
AOM_003893,Bambusa balcooa
AOM_003899,Spondias mombin
AOM_003910,Legume Mixtures Weeds
AOM_003929,Lima Bean Vein
AOM_003930,Soybean Cheese Waste
AOM_003977,Tridax procumbens
AOM_003996,Sweet Basil
AOM_004002,Maize Yellow
AOM_004255,Flaxseed
AOM_006006,Tata
AOM_006031,Bambusa vulgaris
AOM_006119,Hyparrhenia hirta
AOM_006160,Brewers By-Product
AOM_006331,Agrivate
AOM_006350,Bambusa bambos
AOM_006369,Hyparrhenia
AOM_006410,Occicum gatissimum
