case_id,concept_id,preferred_label,hierarchy_path,source_context,component_or_form_terms,process_terms,definition_status,lexical_collision_keys,feedipedia,agrovoc,cpc_product,review_status,proposed_disposition,reviewer,review_date,rationale
CEREAL-000594,AOM_000594,Cereal ByProducts,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts,,,,present,,,,,review-required,,,,
CEREAL-006023,AOM_006023,Atella Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Atella/Atella Dried,Atella,,dried,present,,https://www.feedipedia.org/node/22524,http://aims.fao.org/aos/agrovoc/c_1084,,review-required,,,,
CEREAL-001611,AOM_001611,Atella Fermented,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Atella/Atella Fermented,Atella,,fermented,present,,,http://aims.fao.org/aos/agrovoc/c_1085,,review-required,,,,
CEREAL-001876,AOM_001876,Atella,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Atella,Atella,,,present,,https://www.feedipedia.org/node/22524,http://aims.fao.org/aos/agrovoc/c_1085,,review-required,,,,
CEREAL-001843,AOM_001843,Baby Corn Stalk Dried Wilted,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Baby Corn/Baby Corn Stalk/Baby Corn Stalk Dried Wilted,Baby Corn,,dried;wilted,present,,,http://aims.fao.org/aos/agrovoc/c_d859f064,,review-required,,,,
CEREAL-006361,AOM_006361,Baby Corn Stalk Ensiled,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Baby Corn/Baby Corn Stalk/Baby Corn Stalk Ensiled,Baby Corn,,ensiled,present,,,http://aims.fao.org/aos/agrovoc/c_d859f064,,review-required,,,,
CEREAL-001675,AOM_001675,Baby Corn Stalk,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Baby Corn/Baby Corn Stalk,Baby Corn,,,present,,,http://aims.fao.org/aos/agrovoc/c_d859f064,,review-required,,,,
CEREAL-001806,AOM_001806,Barley Bran,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Barley/Barley Bran,Barley,,,present,,,http://aims.fao.org/aos/agrovoc/c_16066;http://aims.fao.org/aos/agrovoc/c_15941,0115,review-required,,,,
CEREAL-001178,AOM_001178,Barley Dried,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Barley/Barley Dried,Barley,,dried,present,,https://www.feedipedia.org/node/11705,http://aims.fao.org/aos/agrovoc/c_16066;http://aims.fao.org/aos/agrovoc/c_15941,0115,review-required,,,,
CEREAL-002013,AOM_002013,Barley Dried Ground,Management/Livestock Management/Feed Characteristic/Feed Composition/Feed Ingredient/Crop Byproduct/Cereal ByProducts/Barley/Barley Dried Ground,Barley,,dried;ground,present,,,http://aims.fao.org/aos/agrovoc/c_16066;http://aims.fao.org/aos/agrovoc/c_15941,0115,review-required,,,,
