concept_id,preferred_label,ingredient_family,source_identity_candidate,component_candidates,process_candidates,form_candidates,quality_candidates,normalized_signature,confidence,review_route,exception_reason,definition_status,governance_state,status,rule_version
AOM_000531,Ingredient name,Ingredient name,ingredient name,,,,,ingredient name||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000532,Ingredient part,Ingredient part,ingredient part,,,,,ingredient part||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000533,Ingredient species,Ingredient species,ingredient species,,,,,ingredient species||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000534,Ingredient proportion,Ingredient proportion,ingredient proportion,,,,,ingredient proportion||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",present,unreviewed,proposed-not-applied,1.0.0
AOM_000535,Ingredient source,Ingredient source,ingredient source,,,,,ingredient source||||,high,retain_atomic_candidate,"structural metadata concept, not feed-material identity",missing,unreviewed,proposed-not-applied,1.0.0
AOM_000536,Blood Ground,Animal,blood,,Grinding,,,blood||Grinding||,high,rule_application_candidate,,missing,approved_source_override,proposed-not-applied,1.0.0
AOM_000537,Blood Dried Ground Heated,Animal,blood,,Drying;Grinding;Heating,,,blood||Drying;Grinding;Heating||,high,rule_application_candidate,,missing,approved_source_override,proposed-not-applied,1.0.0
AOM_000538,Bone Ash,Animal Byproduct,bone ash,,,,,bone ash||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000539,Bone Ground,Animal Byproduct,bone,,Grinding,,,bone||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000540,Bone,Animal Byproduct,bone,,,,,bone||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000542,Crustacean,Animal,crustacean,,,,,crustacean||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000543,Fish Ground,Animal,fish,,Grinding,,,fish||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000544,Fish Oil,Animal,fish,,,Oil,,fish|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000545,Fish Processing Waste,Animal Byproduct,fish processing waste,,,,,fish processing waste||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000547,Nile Perch Fish Oil,Animal,nile perch fish,,,Oil,,nile perch fish|||Oil|,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000549,Fish,Animal,fish,,,,,fish||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000550,African Palm Larvae Ground,Animal,african palm larvae,,Grinding,,,african palm larvae||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000551,Black Soldier Fly Larvae Dried Ground,Animal,black soldier fly larvae,,Drying;Grinding,,,black soldier fly larvae||Drying;Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000552,Grasshopper Ground,Animal,grasshopper,,Grinding,,,grasshopper||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000553,Winged Termite Ground,Animal,winged termite,,Grinding,,,winged termite||Grinding||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000554,Insect,Animal,insect,,,,,insect||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000555,Whole Milk,Animal,milk,,,,,milk||||,low,expert_exception,"whole may mean whole crop, whole grain, whole organism, or physical presentation",missing,unreviewed,proposed-not-applied,1.0.0
AOM_000556,Milk,Animal,milk,,,,,milk||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000557,Oyster Shells,Animal Byproduct,oyster shells,,,,,oyster shells||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000558,Shell,Animal Byproduct,shell,,,,,shell||||,high,retain_atomic_candidate,,missing,approved_source_override,proposed-not-applied,1.0.0
AOM_000559,Animal,Animal,animal,,,,,animal||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000561,Animal Manures,Animal Manures,animal manures,,,,,animal manures||||,high,retain_atomic_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000563,Unspecified Bran,Crop Byproduct,unspecified,Bran,,,,unspecified|Bran|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
AOM_000564,"Brewers grains, dehydrated",Crop Byproduct,brewers,Grain,Drying,,,brewers|Grain|Drying||,high,rule_application_candidate,,missing,approved_retained_replacement,proposed-not-applied,1.0.0
AOM_000565,Brewers Spent Grain,Crop Byproduct,brewers spent,Grain,,,,brewers spent|Grain|||,high,rule_application_candidate,,missing,unreviewed,proposed-not-applied,1.0.0
