ingredient_family,concept_count,rule_application_candidates,retain_atomic_candidates,batch_review,expert_exceptions,recommended_rollout,promotion_status
Animal,70,46,23,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Animal Byproduct,26,12,14,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Animal Manures,12,6,6,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Crop Byproduct,440,340,80,10,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Crop Product,158,101,48,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Essential Fatty Acid,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Forage Plants,739,451,287,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Grazing,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Herb or Extract,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Ingredient name,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Ingredient part,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Ingredient proportion,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Ingredient source,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Ingredient species,1,0,1,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Organic Acid,2,0,2,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Other Ingredients,55,15,40,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Prebiotic,2,0,2,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Preformulated Feed,29,3,22,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Probiotic,6,1,5,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
Supplement,96,9,87,0,0,approve_rules_then_validate_family_sample,blocked-until-rule-approval
